,DRUG_ID,DRUG_NAME,DISEASES,PHASE
45,D00AWT,Propericiazine,Psychiatric disorder , Approved
46,D00AXG,SMT-14224,Non-insulin dependent diabetes , Investigative
47,D00AXJ,Miconazole,Fungal infection , Approved
48,D00AXT,MDC-922,Solid tumour/cancer , Investigative
49,D00AXZ,CAP-22,Diabetic angiopathy , Investigative
50,D00AYA,BMS-188797,Solid tumour/cancer , Phase 2
51,D00AYW,HMS5552,Type-2 diabetes , Phase 1
52,D00BBB,MetPril,Hypertension , Investigative
53,D00BCG,Goserelin,Breast cancer , Approved
54,D00BCP,Chlorpropamide,Non-insulin dependent diabetes , Approved
55,D00BCS,INT-0015/2008,Panic disorder , Investigative
56,D00BCZ,XGP-610,Reperfusion injury , Investigative
57,D00BDC,Morniflumate,Otitis media , Approved
58,D00BHL,EC20,Ovarian cancer , Phase 3
59,D00BIY,CGP-48369,Hypertension , Discontinued in Phase 1
60,D00BJV,BMS-986207,Solid tumour/cancer , Phase 1/2
61,D00BKV,SB 418790,Type-2 diabetes , Discontinued in Phase 1
62,D00BLL,Fesoterodine fumarate,Overactive bladder , Approved
63,D00BLS,AZD0284,Plaque psoriasis , Phase 1
64,D00BMF,MK-4827,Ovarian cancer , Phase 3
65,D00BMF,MK-4827,Breast cancer , Phase 2
66,D00BMF,MK-4827,Ewing sarcoma , Phase 1
67,D00BMM,Dismutase mimetics,Solid tumour/cancer , Investigative
68,D00BND,BF-1,Cluster headache , Phase 1
69,D00BND,BF-1,Migraine , Phase 1
70,D00BOY,CP-18770,Non-hodgkin lymphoma , Phase 2
71,D00BPE,AVE-1642,Breast cancer , Discontinued in Phase 2
72,D00BPH,COVA322,Psoriasis vulgaris , Phase 1/2a
73,D00BTW,UC-781,Human immunodeficiency virus infection , Phase 1
74,D00BTZ,CT-003230,Cognitive impairment , Investigative
75,D00BUO,MM-141,Solid tumour/cancer , Phase 2
76,D00BUO,MM-141,Pancreatic cancer , Phase 2
77,D00BUR,ICA-17043,Alzheimer disease , Phase 2
78,D00BUR,ICA-17043,Constitutional neutropenia , Discontinued in Phase 2
79,D00BVB,Men Quad TT,Neisseria meningitis infection , Phase 3
80,D00BVF,IP-889,Osteoarthritis , Discontinued in Phase 3
81,D00BVJ,NHS-IL 12,Solid tumour/cancer , Phase 1
82,D00BVS,Tanezumab,Neuropathic pain , Phase 3
83,D00BVS,Tanezumab,Chronic low back pain , Phase 3
84,D00BVS,Tanezumab,Pain , Phase 3
85,D00BVS,Tanezumab,Osteoarthritis , Phase 3
86,D00BVS,Tanezumab,Cancer related pain , Phase 3
87,D00BWF,AGN-XX/YY,Fibromyalgia , Phase 2
88,D00BWF,AGN-XX/YY,Diabetic nephropathy , Phase 2
89,D00BXK,Pyrazole derivative 39,Obesity , Patented
90,D00BXZ,M-402,Solid tumour/cancer , Investigative
91,D00BYM,Volasertib,Acute myeloid leukaemia , Phase 3
92,D00BZJ,Trumenba,Meningitis , Approved
93,D00BZO,HL-035,Syndrome X , Investigative
94,D00BZS,Gimatecan,Breast cancer , Phase 2
95,D00BZZ,PF-4603629,Type-2 diabetes , Phase 1
96,D00CBP,DTPw-HBV/Hib,Hepatitis B virus infection , Phase 3
97,D00CBY,CEL-021,Interstitial cystitis , Investigative
98,D00CCI,Benoxaprofen,Inflammation , Withdrawn from market
99,D00CED,HG-1097,Solid tumour/cancer , Investigative
100,D00CEE,Tetraxim,Bordetella pertussis infection , Approved
101,D00CEG,D-43787,Allergy , Terminated
102,D00CEI,CM-2501,Poison intoxication , Preclinical
103,D00CFB,Zeniplatin,Melanoma , Discontinued in Phase 2
104,D00CFU,RO-4840700,Schizophrenia , Investigative
105,D00CGH,RO-23-7553,Prostate disease , Phase 1
106,D00CGU,IMS,Inflammatory bowel disease , Discontinued in Phase 1
107,D00CGX,DV-1179,Autoimmune disease , Phase 1
108,D00CGX,DV-1179,Systemic lupus erythematosus , Discontinued in Phase 1
109,D00CIF,EMD-503982,Thrombosis , Discontinued in Phase 1
110,D00CIT,Regavirumab,Cytomegalovirus infection , Discontinued in Preregistration
111,D00CLC,SLV-338,Cardiovascular disease , Phase 1
112,D00CLM,NIP-004,Thrombocytopenia , Phase 1
113,D00CMA,VVZ-172,Pain , Investigative
114,D00CMC,BP-9906,Solid tumour/cancer , Investigative
115,D00CMV,ABT-102,Chronic pain , Phase 1
116,D00COH,Biaryl mannoside derivative 24,Crohn disease , Patented
117,D00COH,Biaryl mannoside derivative 24,Ulcerative colitis , Patented
118,D00COH,Biaryl mannoside derivative 24,Urinary tract infection , Patented
119,D00COJ,Inclisiran,Hypercholesterolaemia , Phase 3
120,D00CPQ,RemoSynch,Pulmonary arterial hypertension , Phase 2
121,D00CQI,Indatuximab ravtansine,Multiple myeloma , Phase 2
122,D00CQL,N-8295,Influenza virus infection , Phase 1
123,D00CQQ,TGFK09SD,Hypoactive sexual desire dysfunction , Phase 2
124,D00CQW,TNP-351,Solid tumour/cancer , Discontinued in Phase 2
125,D00CRQ,Phenylate derivative 1,Solid tumour/cancer , Patented
126,D00CRQ,Phenylate derivative 1,Infectious disease , Patented
127,D00CRQ,Phenylate derivative 1,Human immunodeficiency virus infection , Patented
128,D00CRQ,Phenylate derivative 1,Hepatitis , Patented
129,D00CSA,LFF-269,Hypertension , Phase 2
130,D00CSQ,Triclosan,Malaria , Approved
131,D00CSQ,Triclosan,Trypanosomiasis , Investigative
132,D00CSQ,Triclosan,Infection of P. falciparum , Investigative
133,D00CTS,Lubiprostone,Chronic idiopathic constipation , Approved
134,D00CTZ,MEDI9929,Asthma , Phase 2
135,D00CVJ,Neu-P11,Insomnia , Phase 2
136,D00CVJ,Neu-P11,Alzheimer disease , Phase 2
137,D00CVJ,Neu-P11,Dementia , Phase 2
138,D00CVT,TD-6301,Overactive bladder , Discontinued in Phase 1
139,D00CZT,Solanezumab,Alzheimer disease , Phase 3
140,D00DAE,Carboxyamidotriazole orotate,Glioblastoma multiforme , Phase 2
141,D00DAU,LCP-3301,Autoimmune diabetes , Terminated
142,D00DBE,CI-1018,Asthma , Discontinued in Phase 2
143,D00DBH,NPS 1776,Epilepsy , Discontinued in Phase 2
144,D00DBO,Pipamperone,Insomnia , Phase 1/2
145,D00DBU,SA-IGIV,Staphylococcus infection , Discontinued in Phase 2
146,D00DCY,OraTest,Oral cancer , Approved
147,D00DDR,G3139 + Thalidomide,Multiple myeloma , Investigative
148,D00DEF,Lisdexamfetamine,Attention deficit hyperactivity disorder , Approved
149,D00DFP,KBP-5074,Hypertension , Phase 1/2
150,D00DHM,SDZ-208911,Psychotic disorder , Investigative
151,D00DHT,Mammalian sterile 20-like kinase 1 gene eluting stent,Artery stenosis , Investigative
152,D00DIB,Anti-CD33,Acute myeloid leukaemia , Phase 1
153,D00DIM,Monohydroxyethylrutoside,Cardiovascular disease , Phase 1
154,D00DJC,CJX-1,Solid tumour/cancer , Investigative
155,D00DKK,Isotretinoin,Acne vulgaris , Approved
156,D00DPJ,Amezinium,Hypotension , Approved
157,D00DPP,CYCLOPLATAM,Solid tumour/cancer , Phase 2
158,D00DQX,Motesanib,Non-small-cell lung cancer , Discontinued in Phase 3
159,D00DRA,KA-20X,Gastrointestinal cancer , Investigative
160,D00DRL,MK-2461,Alzheimer disease , Phase 1/2
161,D00DSD,GLI-5021,Cerebrovascular ischaemia , Terminated
162,D00DSG,PF-05313261,Inflammation , Investigative
163,D00DSN,Sepcidin,Sepsis , Investigative
164,D00DSV,Polynoma-1,Melanoma , Phase 2
165,D00DTP,ZP-006,Pharyngitis , Investigative
166,D00DXC,Macrocycle derivative 13,Cell proliferative disorder , Patented
167,D00DXH,LYS-6KAKT1,Solid tumour/cancer , Phase 1
168,D00DYI,Benzothiazole analog 1,Albinism , Patented
169,D00DYI,Benzothiazole analog 1,Ephelides , Patented
170,D00DYI,Benzothiazole analog 1,Menkes disease , Patented
171,D00DYI,Benzothiazole analog 1,Senile lentigines , Patented
172,D00DYI,Benzothiazole analog 1,Melasma , Patented
173,D00DYK,Lunacalcipol,Psoriasis vulgaris , Phase 2
174,D00DYN,Botulinum neurotoxin vaccine,Botulism , Phase 1
175,D00DZN,Beclamide,Psychiatric disorder , Approved
176,D00EBH,ICI-170809,Anxiety disorder , Discontinued in Phase 2
177,D00ECB,CD-349,Hypertension , Discontinued in Phase 2
178,D00ECO,SIB-1553A,Alzheimer disease , Discontinued in Phase 2
179,D00EEL,Gaboxadol,Insomnia , Approved
180,D00EEP,E-3309,Helicobacter infection , Discontinued in Phase 1
181,D00EFD,C-21191,Anxiety disorder , Investigative
182,D00EFO,Interferon alpha-2b,Hepatitis C virus infection , Phase 2
183,D00EGN,ETX-9101,Asthma , Phase 2
184,D00EGU,PACAP38,Nerve injury , Phase 1
185,D00EGV,Monoamine derivative 2,Albinism , Patented
186,D00EGV,Monoamine derivative 2,Ephelides , Patented
187,D00EGV,Monoamine derivative 2,Menkes disease , Patented
188,D00EGV,Monoamine derivative 2,Senile lentigines , Patented
189,D00EGV,Monoamine derivative 2,Melasma , Patented
190,D00EHX,TT-301,Alzheimer disease , Phase 1
191,D00EIB,Ha-1a,Sepsis , Approved
192,D00EIB,Ha-1a,Congestive heart failure , Approved
193,D00EIB,Ha-1a,Atrial fibrillation , Approved
194,D00EIL,CG-103065,Solid tumour/cancer , Investigative
195,D00EJP,GSK2339345,Cough , Phase 2
196,D00EKM,Virapt,Human immunodeficiency virus infection , Investigative
197,D00EMB,GSK-1247446A,Influenza virus infection , Phase 2
198,D00EML,Q-Vax,Coxiella infection , Terminated
199,D00ENU,CAB-101,Autoimmune diabetes , Investigative
200,D00ENY,L-Glutamic Acid,Schizophrenia , Approved
201,D00EPS,PMID18163548C4,Reperfusion injury , Clinical trial
202,D00EPS,PMID18163548C4,Myocardial ischemia , Clinical trial
203,D00EPT,E7850,Solid tumour/cancer , Phase 2
204,D00EQD,PN-277,Cerebrovascular ischaemia , Investigative
205,D00EQL,Tazemetostat,Follicular lymphoma , Approved
206,D00EQL,Tazemetostat,Malignant rhabdoid tumour , Phase 2
207,D00EQL,Tazemetostat,Brain and central nervous system tumour , Phase 2
208,D00EQL,Tazemetostat,Mesothelioma , Phase 2
209,D00EQL,Tazemetostat,Solid tumour/cancer , Phase 2
210,D00EQL,Tazemetostat,Diffuse large B-cell lymphoma , Phase 1/2
211,D00EQL,Tazemetostat,Synovial sarcoma , Phase 1
212,D00EQY,KTN3379,Solid tumour/cancer , Phase 1
213,D00ERV,Gallopamil,Asthma , Phase 2
214,D00ERV,Gallopamil,Hypertension , Discontinued in Phase 1
215,D00ESH,DCVax-Liver,Liver cancer , Phase 1/2
216,D00ETS,Hexobarbital,Anaesthesia , Approved
217,D00EUL,PMID28270021-Compound-WO2016054807Example82,Pruritus , Patented
218,D00EUL,PMID28270021-Compound-WO2016054807Example82,Solid tumour/cancer , Patented
219,D00EUL,PMID28270021-Compound-WO2016054807Example82,Chronic pain , Patented
220,D00EUL,PMID28270021-Compound-WO2016054807Example82,Neuropathic pain , Patented
221,D00EUL,PMID28270021-Compound-WO2016054807Example82,Thymic cancer , Patented
222,D00EVP,Simenepag isopropyl,Ocular hypertension , Phase 2
223,D00EWR,Fidarestat,Diabetic complication , Phase 3
224,D00EXZ,PB-357,Solid tumour/cancer , Phase 1
225,D00EYC,F-7TG,Hemophilia , Phase 1
226,D00EYF,PEGylated insulin,Diabetic complication , Investigative
227,D00EZE,Panamesine,Psychotic disorder , Discontinued in Phase 2
228,D00EZO,TC-2216,Mood disorder , Phase 1
229,D00FAW,CL-508,Vomiting , Investigative
230,D00FBC,KHK-6188,Neuropathic pain , Phase 2
231,D00FBM,LP-2307,Solid tumour/cancer , Discontinued in Phase 2
232,D00FCW,ViaScint,Cardiovascular disease , Discontinued in Preregistration
233,D00FDD,INT-0020,Insomnia , Phase 1
234,D00FEA,GRL-0036A,Human immunodeficiency virus-1 infection , Investigative
235,D00FGO,Melphalan,Multiple myeloma , Approved
236,D00FGO,Melphalan,Intrahepatic cholangiocarcinoma , Phase 3
237,D00FGR,Miltefosine,Leishmaniasis , Approved
238,D00FGR,Miltefosine,Visceral leishmaniasis , Phase 2
239,D00FGV,Carbinoxamine,Vasomotor/allergic rhinitis , Approved
240,D00FGW,Anthrax transdermal vaccine,Anthrax , Phase 1
241,D00FGY,PF-755616,Rheumatoid arthritis , Discontinued in Phase 1
242,D00FHI,Zabiciprilat,Hypertension , Discontinued in Phase 2
243,D00FHR,MGCD-0103,Solid tumour/cancer , Phase 2
244,D00FHR,MGCD-0103,Non-small-cell lung cancer , Phase 2
245,D00FHR,MGCD-0103,Diffuse large B-cell lymphoma , Phase 1/2
246,D00FHR,MGCD-0103,Melanoma , Phase 1
247,D00FIO,Anti-CD20-CAR-transduced T cells,leukaemia , Phase 1/2
248,D00FIO,Anti-CD20-CAR-transduced T cells,Lymphoma , Phase 1/2
249,D00FIV,Leukotoxin,Autoimmune diabetes , Investigative
250,D00FIX,Agalsidase beta,Fabry disease , Approved
251,D00FJC,Nuvanil,Pain , Discontinued in Phase 2
252,D00FJH,N-acylpiperidine ether derivative 4,Pruritus , Patented
253,D00FJH,N-acylpiperidine ether derivative 4,Solid tumour/cancer , Patented
254,D00FJH,N-acylpiperidine ether derivative 4,Chronic pain , Patented
255,D00FJH,N-acylpiperidine ether derivative 4,Neuropathic pain , Patented
256,D00FJH,N-acylpiperidine ether derivative 4,Thymic cancer , Patented
257,D00FJQ,Leucine + metformin,Type-2 diabetes , Phase 2
258,D00FJS,KRH-2731,Human immunodeficiency virus infection , Terminated
259,D00FMK,SDZ-LAV-694,Actinic keratosis , Phase 1
260,D00FMQ,FX-300,Inflammation , Investigative
261,D00FMV,Putrescine,Burn and burn infection , Discontinued in Phase 2
262,D00FMW,TIM ETEC vaccine,Diarrhea , Phase 2
263,D00FOR,NBI-80649,Parkinson disease , Investigative
264,D00FQP,LAGATIDE,Diarrhea , Discontinued in Phase 2
265,D00FRX,CTA-056,leukaemia , Investigative
266,D00FRY,BILD-1351,Herpes simplex virus infection , Terminated
267,D00FSB,BIIB095,Pain , Phase 1
268,D00FSS,SPD-452,Epilepsy , Terminated
269,D00FSV,Phytonadione,Bleeding disorder , Approved
270,D00FSV,Phytonadione,Vitamin K deficiency , Approved
271,D00FUD,HRA-081025,Contraception , Investigative
272,D00FWB,L-163017,Hypertension , Terminated
273,D00FXQ,IG-CN-023,Neuropathic pain , Investigative
274,D00FYF,NVP-DPP728,Type-2 diabetes , Discontinued in Phase 2
275,D00FYP,PG-36,Cytomegalovirus infection , Terminated
276,D00FZA,ALD-805,Solid tumour/cancer , Investigative
277,D00FZH,Nest mesenchymal stem cells,Coronavirus Disease 2019 (COVID-19) , Phase 1
278,D00FZZ,PEG-FGF-21,Type-2 diabetes , Phase 2
279,D00GAM,Beclanorsen,leukaemia , Phase 1/2
280,D00GAV,AR-2474,Bacterial infection , Terminated
281,D00GBG,Resp syncytial virus ig,Respiratory syncytial virus infection , Approved
282,D00GBZ,CEQ-508,Familial adenomatous polyposis , Phase 1/2
283,D00GCA,MK-7288,Excessive daytime sleepiness , Phase 1
284,D00GDN,ML-03,Chronic obstructive pulmonary disease , Terminated
285,D00GEG,Ralfinamide,Neuropathic pain , Phase 3
286,D00GES,JD-5037,Diabetic complication , Preclinical
287,D00GES,JD-5037,Obesity , Preclinical
288,D00GFU,BTma22,Autoimmune diabetes , Investigative
289,D00GFV,Leridistim,Immune System disease , Phase 2
290,D00GHG,VAX-102,Influenza A virus infection , Phase 2
291,D00GIR,DAC-060,Keratosis , Phase 2
292,D00GJK,Depigoid birch pollen extract vaccine,Allergic conjunctivitis , Phase 2
293,D00GKH,HG-1179,Solid tumour/cancer , Investigative
294,D00GLQ,2LM20-4,Autoimmune diabetes , Investigative
295,D00GLW,OM-294-DP,Solid tumour/cancer , Investigative
296,D00GNI,REGN-727,Familial hypercholesterolemia , Approved
297,D00GNI,REGN-727,Hypercholesterolaemia , Approved
298,D00GNJ,Linaclotide,Irritable bowel syndrome , Approved
299,D00GNK,LY293111,Pancreatic cancer , Discontinued in Phase 2
300,D00GNN,P53 mdm-2-binding domain peptides,Solid tumour/cancer , Investigative
301,D00GOH,HepeX-B,Hepatitis virus infection , Phase 2
302,D00GOS,Clocortolone,Rosacea , Approved
303,D00GOV,Nivolumab,Melanoma , Approved
304,D00GOV,Nivolumab,Non-small-cell lung cancer , Approved
305,D00GOV,Nivolumab,Malignant pleural mesothelioma , Phase 3
306,D00GOV,Nivolumab,Multiple myeloma , Phase 3
307,D00GOV,Nivolumab,Small-cell lung cancer , Phase 3
308,D00GOV,Nivolumab,Esophageal cancer , Phase 3
309,D00GOV,Nivolumab,Gastric adenocarcinoma , Phase 3
310,D00GOV,Nivolumab,Recurrent glioblastoma , Phase 3
311,D00GOV,Nivolumab,Central nervous system lymphoma , Phase 2
312,D00GOV,Nivolumab,Diffuse large B-cell lymphoma , Phase 2
313,D00GOV,Nivolumab,Follicular lymphoma , Phase 2
314,D00GOV,Nivolumab,Prostate cancer , Phase 2
315,D00GOV,Nivolumab,Ovarian cancer , Phase 1/2
316,D00GOV,Nivolumab,Pancreatic cancer , Phase 1/2
317,D00GOV,Nivolumab,Triple negative breast cancer , Phase 1/2
318,D00GOV,Nivolumab,Chronic myelogenous leukaemia , Phase 1
319,D00GOV,Nivolumab,Renal cell carcinoma , Application submitted
320,D00GPQ,PF-03084014,Desmoid tumour , Phase 3
321,D00GPQ,PF-03084014,Alzheimer disease , Phase 2
322,D00GPQ,PF-03084014,Solid tumour/cancer , Phase 2
323,D00GPY,OMP-18R5,Solid tumour/cancer , Phase 1
324,D00GXL,PBT-2,Alzheimer disease , Phase 2
325,D00GXL,PBT-2,Huntington disease , Phase 2
326,D00GZW,ONO-2506,Stroke , Phase 2/3
327,D00GZW,ONO-2506,Type-2 diabetes , Terminated
328,D00GZY,AT1001,Autoimmune diabetes , Phase 3
329,D00HAN,IM23,Acute myeloid leukaemia , Phase 1
330,D00HAP,Dapagliflozin/metformin,Type-2 diabetes , Phase 3
331,D00HBE,AZD0914,Neisseria gonorrhoeae infection , Phase 3
332,D00HBE,AZD0914,Bacterial infection , Phase 2
333,D00HBF,CAB-103,Solid tumour/cancer , Investigative
334,D00HBR,AIKO-150,Opioid dependence , Phase 1
335,D00HCQ,Capecitabine,Colorectal cancer , Approved
336,D00HCQ,Capecitabine,Breast cancer , Phase 3
337,D00HDB,AC-105,Spinal cord injury , Phase 2
338,D00HDC,MCP-204,Bladder disease , Investigative
339,D00HDH,Molecule 22,Alzheimer disease , Investigative
340,D00HDK,PGX-5188,Bipolar disorder , Preclinical
341,D00HDU,Moexipril,Hypertension , Approved
342,D00HDZ,Wharton's Jelly-Mesenchymal Stem Cells,Coronavirus Disease 2019 (COVID-19) , Phase 1
343,D00HEA,Transcobalamin (vitamin B12) receptor-targeting mabTCR23-saporin conjugate,Solid tumour/cancer , Investigative
344,D00HEN,"Rotavirus vaccine, Lanzhou Institute of Biological Products",Rotavirus infection (Diarrhoea) , Approved
345,D00HFD,E-6080,Asthma , Discontinued in Phase 2
346,D00HGB,Niflumic Acid,Rheumatoid arthritis , Approved
347,D00HGF,ERYTHRITOL,Neurological disorder , Phase 2/3
348,D00HGY,Insulin B chain vaccine,Type-1 diabetes , Phase 1
349,D00HGY,Insulin B chain vaccine,Insulin-dependent diabetes , Phase 1
350,D00HHP,CP-111905,Bacterial infection , Terminated
351,D00HHS,Pseudoephedrine,Nasal congestion , Approved
352,D00HHU,AFO-18,Human immunodeficiency virus-1 infection , Phase 1
353,D00HIC,Pseudomonas aeruginosa vaccine,Pseudomonas infection , Discontinued in Phase 1
354,D00HMQ,Ormaplatin,leukaemia , Discontinued in Phase 1
355,D00HMZ,TV1-Kidney-1,Renal cell carcinoma , Phase 2
356,D00HNB,Clodronate,Hypercalcaemia , Approved
357,D00HNK,RHb1.1,Anemia , Terminated
358,D00HNQ,TDI-0051,Motor neurone disease , Investigative
359,D00HPD,Moxetumomab pasudotox,Hairy cell leukaemia , Approved
360,D00HPD,Moxetumomab pasudotox,Haematological malignancy , Phase 1
361,D00HPK,Naftifine,Dermatomycosis , Approved
362,D00HPX,ON-04,Breast cancer , Investigative
363,D00HQB,TX-MSD,Multiple sclerosis , Investigative
364,D00HQE,Ty800,Infectious disease , Phase 2
365,D00HSK,Algenpantucel-L,Pancreatic cancer , Phase 3
366,D00HTO,Apomine,Osteopetrosis , Phase 2
367,D00HTT,XE-9,Transplant rejection , Terminated
368,D00HTY,PGF2alpha,Solid tumour/cancer , Clinical trial
369,D00HUZ,NDDP,Solid tumour/cancer , Phase 2
370,D00HWO,Cyclacillin,Bacterial infection , Approved
371,D00HYD,CDT-fenofibrate,Hyperlipidaemia , Phase 1
372,D00HYF,H5N1 influenza vaccine,Influenza virus infection , Phase 3
373,D00HYK,AFN-1252,Staphylococcus infection , Phase 2
374,D00HZA,YPEG-Somatropin,Growth hormone deficiency , Phase 1
375,D00HZO,GS-497C,Lung cancer , Investigative
376,D00HZV,Trimipramine,Major depressive disorder , Approved
377,D00IAH,Hemiacidrin,Urolithiasis , Approved
378,D00IBN,Piroxicam,Pain , Approved
379,D00ICD,SH-529,Peripheral vascular disease , Phase 2
380,D00ICM,Naltiazem hydrochloride,Angina pectoris , Terminated
381,D00ICY,FP-187,Autoimmune diabetes , Phase 2
382,D00IDP,Emdogain,Solid tumour/cancer , Approved
383,D00IDR,Phenylalanine hydroxylase,Autoimmune diabetes , Phase 2
384,D00IDV,CRTX-070,Allergic rhinitis , Investigative
385,D00IEB,DRL-21994,Lipid metabolism disorder , Investigative
386,D00IFH,INO-1400,Breast cancer , Phase 1
387,D00IFH,INO-1400,Solid tumour/cancer , Phase 1
388,D00IFQ,MVT-1075,Pancreatic cancer , Phase 1
389,D00IFQ,MVT-1075,Solid tumour/cancer , Phase 1
390,D00IFR,AZD1208,Solid tumour/cancer , Phase 1
391,D00IJM,EPI-A0001,Friedreich's ataxia , Phase 2
392,D00IJQ,Zatosetron maleate,Anxiety disorder , Phase 3
393,D00IKH,Hexylcarbamoyl fluorouracil,Solid tumour/cancer , Withdrawn from market
394,D00IKI,PF-04895162,Epilepsy , Phase 1
395,D00INM,Occlusin,Liver cancer , Preclinical
396,D00IOS,CYT-017-IL17Qb,Multiple sclerosis , Terminated
397,D00IPW,CGP-47969A,Autoimmune diabetes , Terminated
398,D00IQH,RQ-00000007 (oral),Pain , Phase 2
399,D00IQV,Homspera,Influenza virus infection , Investigative
400,D00IRU,E-5842,Schizophrenia , Terminated
401,D00ISN,MT-1303,Multiple sclerosis , Phase 2
402,D00ISN,MT-1303,Crohn disease , Phase 2
403,D00ITC,PRT4445,Bleeding disorder , Phase 3
404,D00ITG,Clinafloxacin,Pneumonia , Terminated
405,D00IUD,K-832,Rheumatoid arthritis , Phase 2
406,D00IUG,Levobunolol,Open-angle glaucoma , Approved
407,D00IVF,Murepavadin,Ventilator-associated pneumonia , Phase 3
408,D00IVN,Navicixizumab,Colorectal cancer , Phase 1
409,D00IVN,Navicixizumab,Fallopian tube cancer , Phase 1
410,D00IVN,Navicixizumab,Metastatic colorectal cancer , Phase 1
411,D00IVN,Navicixizumab,Ovarian cancer , Phase 1
412,D00IVN,Navicixizumab,Peritoneal cavity cancer , Phase 1
413,D00IWE,RP-6000,Major depressive disorder , Investigative
414,D00IWL,PolyHeme,Blood forming organ disorder , Phase 3
415,D00IXM,DR-3001,Urinary incontinence , Phase 3
416,D00IXN,GS-6637,Substance use disorder , Phase 1
417,D00IYB,Maraciclatide,Breast cancer , Phase 2
418,D00IYM,AEZS-127,Solid tumour/cancer , Preclinical
419,D00IZD,DVC1-0101,Arteriosclerosis , Phase 2
420,D00IZW,BM-13.1188,Diabetic complication , Terminated
421,D00IZY,DCN01,Ocular infection , Phase 2
422,D00JAU,Irbesartan,Hypertension , Approved
423,D00JBM,UR-5908,Chronic obstructive pulmonary disease , Investigative
424,D00JCA,NewGam,Immune System disease , Phase 3
425,D00JCB,CD19/CD22 CAR T cells,Acute lymphoblastic leukaemia , Phase 1
426,D00JDJ,AX-024,Multiple sclerosis , Phase 1
427,D00JDL,MGD006,Acute myeloid lymphoma , Phase 1
428,D00JDL,MGD006,Acute lymphoblastic leukaemia , Phase 1
429,D00JDP,AMX-213,Cachexia , Investigative
430,D00JED,AN-2898,Atopic dermatitis , Phase 2
431,D00JFE,ARN-810,Breast cancer , Phase 2
432,D00JFN,MDC-917,Solid tumour/cancer , Investigative
433,D00JGL,D-4476,Chronic lymphocytic leukaemia , Preclinical
434,D00JIV,PF-4989216,Solid tumour/cancer , Investigative
435,D00JIX,IKH-25,Solid tumour/cancer , Investigative
