DRUG_NAME,STRUCT_ID,TARGET_NAME,TARGET_CLASS,ACCESSION,GENE,SWISSPROT,ACT_VALUE,ACT_UNIT,ACT_TYPE,ACT_COMMENT,ACT_SOURCE,RELATION,MOA,MOA_SOURCE,ACT_SOURCE_URL,MOA_SOURCE_URL,ACTION_TYPE,TDL,ORGANISM,NEW_ID
clotrimazole,719,Epidermal growth factor receptor,Kinase,P00533,EGFR,EGFR_HUMAN,4.159,,IC50,"DRUGMATRIX: Protein Tyrosine Kinase, EGF Receptor enzyme inhibition (substrate: Poly(Glu:Tyr))",DRUG MATRIX,=,,,,,,Tclin,Homo sapiens,HGNC:3236
cortisone acetate,734,Sex hormone-binding globulin,Secreted,P04278,SHBG,SHBG_HUMAN,6.43,,Kd,Displacement of [3H]5alpha dihydrotestosterone from human sex hormone binding globulin,CHEMBL,=,,,,,,Tchem,Homo sapiens,HGNC:10839
ciclosporin,760,Peptidyl-prolyl cis-trans isomerase B,Enzyme,P23284,PPIB,PPIB_HUMAN,8.01,,Kd,Binding affinity to human Cyclophilin B,CHEMBL,=,,,,,,Tchem,Homo sapiens,HGNC:9255
dacarbazine,773,Matrix metalloproteinase-9,Enzyme,P14780,MMP9,MMP9_HUMAN,6.255,,IC50,"DRUGMATRIX: Protease, Matrix Metalloprotease-9 (MMP-9) enzyme inhibition (substrate: Mca-Pro-Leu-Gly-Leu-Dpa-Ala-Arg-NH2)",DRUG MATRIX,=,,,,,,Tchem,Homo sapiens,HGNC:7176
danazol,779,Sex hormone-binding globulin,Secreted,P04278,SHBG,SHBG_HUMAN,8.2,,Kd,Displacement of [3H]5alpha dihydrotestosterone from human sex hormone binding globulin,CHEMBL,=,,,,,,Tchem,Homo sapiens,HGNC:10839
dasatinib,785,Platelet-derived growth factor receptor beta,Kinase,P09619,PDGFRB,PGFRB_HUMAN,9.2,,Kd,Binding constant for PDGFRB kinase domain,CHEMBL,=,1.0,CHEMBL,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1421,INHIBITOR,Tclin,Homo sapiens,HGNC:8804
dasatinib,785,Epidermal growth factor receptor,Kinase,P00533,EGFR,EGFR_HUMAN,7.1,,Kd,Binding constant for EGFR(G719S) kinase domain,CHEMBL,=,,,,,,Tclin,Homo sapiens,HGNC:3236
daunorubicin,786,72 kDa type IV collagenase,Enzyme,P08253,MMP2,MMP2_HUMAN,5.72,,IC50,Inhibitory concentration against Clostridium histolyticum Collagenase,CHEMBL,=,,,,,,Tchem,Homo sapiens,HGNC:7166
prasterone,795,Sex hormone-binding globulin,Secreted,P04278,SHBG,SHBG_HUMAN,7.84,,Kd,Displacement of [3H]5alpha dihydrotestosterone from human sex hormone binding globulin,CHEMBL,=,,,,,,Tchem,Homo sapiens,HGNC:10839
desogestrel,818,Sex hormone-binding globulin,Secreted,P04278,SHBG,SHBG_HUMAN,6.6,,Kd,Displacement of [3H]5alpha dihydrotestosterone from human sex hormone binding globulin,CHEMBL,=,,,,,,Tchem,Homo sapiens,HGNC:10839
desoxycortone,820,Sex hormone-binding globulin,Secreted,P04278,SHBG,SHBG_HUMAN,7.38,,Kd,Displacement of [3H]5alpha dihydrotestosterone from human sex hormone binding globulin,CHEMBL,=,,,,,,Tchem,Homo sapiens,HGNC:10839
dexamethasone,824,Interleukin-4,Cytokine,P05112,IL4,IL4_HUMAN,8.33,,IC50,,WOMBAT-PK,=,,,,,,Tbio,Homo sapiens,HGNC:6014
disulfiram,928,Protein-lysine 6-oxidase,Enzyme,P28300,LOX,LYOX_HUMAN,6.5,,IC50,Inhibition of recombinant human LOX expressed in HEK293 cells using diaminopentane as substrate preincubated for 30 mins followed by substrate addition measured after 1 hr by fluorimetric method,CHEMBL,=,,,,,,Tbio,Homo sapiens,HGNC:6664
dobutamine,937,Epidermal growth factor receptor,Kinase,P00533,EGFR,EGFR_HUMAN,5.256,,IC50,"DRUGMATRIX: Protein Tyrosine Kinase, EGF Receptor enzyme inhibition (substrate: Poly(Glu:Tyr))",DRUG MATRIX,=,,,,,,Tclin,Homo sapiens,HGNC:3236
dobutamine,937,Catechol O-methyltransferase,Enzyme,P21964,COMT,COMT_HUMAN,4.301,,Km,,WOMBAT-PK,=,,,,,,Tclin,Homo sapiens,HGNC:2228
docetaxel,939,Epidermal growth factor receptor,Kinase,P00533,EGFR,EGFR_HUMAN,9.086,,Kd,,WOMBAT-PK,=,,,,,INHIBITOR,Tclin,Homo sapiens,HGNC:3236
doxorubicin,960,72 kDa type IV collagenase,Enzyme,P08253,MMP2,MMP2_HUMAN,5.96,,IC50,Inhibitory concentration against Clostridium histolyticum Collagenase,CHEMBL,=,,,,,,Tchem,Homo sapiens,HGNC:7166
doxycycline,961,72 kDa type IV collagenase,Enzyme,P08253,MMP2,MMP2_HUMAN,4.62,,IC50,Inhibition of human MMP2,CHEMBL,=,,,,,,Tchem,Homo sapiens,HGNC:7166
ebastine,977,Epidermal growth factor receptor,Kinase,P00533,EGFR,EGFR_HUMAN,6.253,,IC50,"DRUGMATRIX: Protein Tyrosine Kinase, EGF Receptor enzyme inhibition (substrate: Poly(Glu:Tyr))",DRUG MATRIX,=,,,,,,Tclin,Homo sapiens,HGNC:3236
econazole,983,Epidermal growth factor receptor,Kinase,P00533,EGFR,EGFR_HUMAN,4.489,,IC50,"DRUGMATRIX: Protein Tyrosine Kinase, EGF Receptor enzyme inhibition (substrate: Poly(Glu:Tyr))",DRUG MATRIX,=,,,,,,Tclin,Homo sapiens,HGNC:3236
econazole,983,Matrix metalloproteinase-9,Enzyme,P14780,MMP9,MMP9_HUMAN,5.155,,IC50,"DRUGMATRIX: Protease, Matrix Metalloprotease-9 (MMP-9) enzyme inhibition (substrate: Mca-Pro-Leu-Gly-Leu-Dpa-Ala-Arg-NH2)",DRUG MATRIX,=,,,,,,Tchem,Homo sapiens,HGNC:7176
entacapone,1018,Catechol O-methyltransferase,Enzyme,P21964,COMT,COMT_HUMAN,9.523,,Ki,,SCIENTIFIC LITERATURE,=,1.0,CHEMBL,https://pubmed.ncbi.nlm.nih.gov/7703232,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL953,INHIBITOR,Tclin,Homo sapiens,HGNC:2228
erlotinib,1045,Platelet-derived growth factor receptor beta,Kinase,P09619,PDGFRB,PGFRB_HUMAN,5.85,,Kd,Binding constant for PDGFRB kinase domain,CHEMBL,=,,,,,,Tclin,Homo sapiens,HGNC:8804
erlotinib,1045,Epidermal growth factor receptor,Kinase,P00533,EGFR,EGFR_HUMAN,9.22,,IC50,,WOMBAT-PK,=,1.0,CHEMBL,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1079742,INHIBITOR,Tclin,Homo sapiens,HGNC:3236
erlotinib,1045,Vascular endothelial growth factor receptor 3,Kinase,P35916,FLT4,VGFR3_HUMAN,5.68,,Kd,Binding constant for FLT4 kinase domain,CHEMBL,=,,,,,,Tclin,Homo sapiens,HGNC:3767
erlotinib,1045,Focal adhesion kinase 1,Kinase,Q05397,PTK2,FAK1_HUMAN,5.13,,IC50,Inhibition of FAK (unknown origin) assembly preincubated with enzyme followed by GTP addition measured after 20 mins by spectrophotometric analysis,CHEMBL,=,,,,,,Tclin,Homo sapiens,HGNC:9611
estradiol,1057,Sex hormone-binding globulin,Secreted,P04278,SHBG,SHBG_HUMAN,8.83,,Kd,Displacement of [3H]5alpha dihydrotestosterone from human sex hormone binding globulin,CHEMBL,=,,,,,,Tchem,Homo sapiens,HGNC:10839
estradiol benzoate,1058,Sex hormone-binding globulin,Secreted,P04278,SHBG,SHBG_HUMAN,5.94,,Kd,Displacement of [3H]5alpha dihydrotestosterone from human sex hormone binding globulin,CHEMBL,=,,,,,,Tchem,Homo sapiens,HGNC:10839
estriol succinate,1067,Sex hormone-binding globulin,Secreted,P04278,SHBG,SHBG_HUMAN,6.63,,Kd,Displacement of [3H]5alpha dihydrotestosterone from human sex hormone binding globulin,CHEMBL,=,,,,,,Tchem,Homo sapiens,HGNC:10839
ethinylestradiol,1082,Sex hormone-binding globulin,Secreted,P04278,SHBG,SHBG_HUMAN,6.81,,Kd,Displacement of [3H]5alpha dihydrotestosterone from human sex hormone binding globulin,CHEMBL,=,,,,,,Tchem,Homo sapiens,HGNC:10839
ethisterone,1084,Sex hormone-binding globulin,Secreted,P04278,SHBG,SHBG_HUMAN,8.78,,Kd,Displacement of [3H]5alpha dihydrotestosterone from human sex hormone binding globulin,CHEMBL,=,,,,,,Tchem,Homo sapiens,HGNC:10839
etonogestrel,1110,Sex hormone-binding globulin,Secreted,P04278,SHBG,SHBG_HUMAN,8.23,,Kd,Displacement of [3H]5alpha dihydrotestosterone from human sex hormone binding globulin,CHEMBL,=,,,,,,Tchem,Homo sapiens,HGNC:10839
flopropione,1180,Catechol O-methyltransferase,Enzyme,P21964,COMT,COMT_HUMAN,,,,Mechanism of Action,DRUG LABEL,,1.0,DRUG LABEL,http://eisai.jp/medical/products/di/EPI/CSP_C_EPI.pdf,http://eisai.jp/medical/products/di/EPI/CSP_C_EPI.pdf,INHIBITOR,Tclin,Homo sapiens,HGNC:2228
floxacillin,1183,Matrix metalloproteinase-9,Enzyme,P14780,MMP9,MMP9_HUMAN,4.19,,IC50,,WOMBAT-PK,=,,,,,,Tchem,Homo sapiens,HGNC:7176
fluphenazine,1212,Epidermal growth factor receptor,Kinase,P00533,EGFR,EGFR_HUMAN,4.397,,IC50,"DRUGMATRIX: Protein Tyrosine Kinase, EGF Receptor enzyme inhibition (substrate: Poly(Glu:Tyr))",DRUG MATRIX,=,,,,,,Tclin,Homo sapiens,HGNC:3236
gefitinib,1282,Epidermal growth factor receptor,Kinase,P00533,EGFR,EGFR_HUMAN,9.4,,Ki,Inhibition of EGFR,CHEMBL,=,1.0,CHEMBL,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL939,INHIBITOR,Tclin,Homo sapiens,HGNC:3236
gestrinone,1292,Sex hormone-binding globulin,Secreted,P04278,SHBG,SHBG_HUMAN,8.11,,Kd,Displacement of [3H]5alpha dihydrotestosterone from human sex hormone binding globulin,CHEMBL,=,,,,,,Tchem,Homo sapiens,HGNC:10839
hexachlorophene,1364,Epidermal growth factor receptor,Kinase,P00533,EGFR,EGFR_HUMAN,6.126,,IC50,"DRUGMATRIX: Protein Tyrosine Kinase, EGF Receptor enzyme inhibition (substrate: Poly(Glu:Tyr))",DRUG MATRIX,=,,,,,,Tclin,Homo sapiens,HGNC:3236
hydrocortisone,1388,Sex hormone-binding globulin,Secreted,P04278,SHBG,SHBG_HUMAN,6.2,,Kd,Displacement of [3H]5alpha dihydrotestosterone from human sex hormone binding globulin,CHEMBL,=,,,,,,Tchem,Homo sapiens,HGNC:10839
imatinib,1423,Platelet-derived growth factor receptor beta,Kinase,P09619,PDGFRB,PGFRB_HUMAN,7.85,,Kd,Binding constant for PDGFRB kinase domain,CHEMBL,=,1.0,CHEMBL,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL941,INHIBITOR,Tclin,Homo sapiens,HGNC:8804
imatinib,1423,Epidermal growth factor receptor,Kinase,P00533,EGFR,EGFR_HUMAN,5.12,,Kd,"Binding constant for EGFR(L747-E749del, A750P) kinase domain",CHEMBL,=,,,,,,Tclin,Homo sapiens,HGNC:3236
diiodohydroxyquinoline,1457,Epidermal growth factor receptor,Kinase,P00533,EGFR,EGFR_HUMAN,5.724,,IC50,"DRUGMATRIX: Protein Tyrosine Kinase, EGF Receptor enzyme inhibition (substrate: Poly(Glu:Tyr))",DRUG MATRIX,=,,,,,,Tclin,Homo sapiens,HGNC:3236
lapatinib,1548,Platelet-derived growth factor receptor beta,Kinase,P09619,PDGFRB,PGFRB_HUMAN,5.07,,IC50,Inhibition of PDGFRbeta by flash plate based radioactive enzyme assay,CHEMBL,=,,,,,,Tclin,Homo sapiens,HGNC:8804
lapatinib,1548,Epidermal growth factor receptor,Kinase,P00533,EGFR,EGFR_HUMAN,9.04,,Kd,Binding constant for EGFR(G719C) kinase domain,CHEMBL,=,1.0,CHEMBL,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1201179,INHIBITOR,Tclin,Homo sapiens,HGNC:3236
levodopa,1567,Epidermal growth factor receptor,Kinase,P00533,EGFR,EGFR_HUMAN,5.541,,IC50,"DRUGMATRIX: Protein Tyrosine Kinase, EGF Receptor enzyme inhibition (substrate: Poly(Glu:Tyr))",DRUG MATRIX,=,,,,,,Tclin,Homo sapiens,HGNC:3236
levonorgestrel,1572,Sex hormone-binding globulin,Secreted,P04278,SHBG,SHBG_HUMAN,8.91,,Kd,Displacement of [3H]5alpha dihydrotestosterone from human sex hormone binding globulin,CHEMBL,=,,,,,,Tchem,Homo sapiens,HGNC:10839
losartan,1610,Platelet glycoprotein VI,Unclassified,Q9HCN6,GP6,GPVI_HUMAN,4.98,,IC50,Antagonist activity at GP6 receptor in human platelet rich plasma assessed as inhibition of collagen-induced platelet aggregation preincubated for 5 mins followed by collagen addition measured after 5 mins by turbidimetric method,CHEMBL,=,,,,,,Tbio,Homo sapiens,HGNC:14388
medroxyprogesterone,1659,Sex hormone-binding globulin,Secreted,P04278,SHBG,SHBG_HUMAN,6.2,,Kd,Displacement of [3H]5alpha dihydrotestosterone from human sex hormone binding globulin,CHEMBL,=,,,,,,Tchem,Homo sapiens,HGNC:10839
methyldopa,1762,Epidermal growth factor receptor,Kinase,P00533,EGFR,EGFR_HUMAN,5.282,,IC50,"DRUGMATRIX: Protein Tyrosine Kinase, EGF Receptor enzyme inhibition (substrate: Poly(Glu:Tyr))",DRUG MATRIX,=,,,,,,Tclin,Homo sapiens,HGNC:3236
miconazole,1800,Epidermal growth factor receptor,Kinase,P00533,EGFR,EGFR_HUMAN,4.534,,IC50,"DRUGMATRIX: Protein Tyrosine Kinase, EGF Receptor enzyme inhibition (substrate: Poly(Glu:Tyr))",DRUG MATRIX,=,,,,,,Tclin,Homo sapiens,HGNC:3236
mitoxantrone,1821,Epidermal growth factor receptor,Kinase,P00533,EGFR,EGFR_HUMAN,5.269,,IC50,"DRUGMATRIX: Protein Tyrosine Kinase, EGF Receptor enzyme inhibition (substrate: Poly(Glu:Tyr))",DRUG MATRIX,=,,,,,,Tclin,Homo sapiens,HGNC:3236
montelukast,1836,Epidermal growth factor receptor,Kinase,P00533,EGFR,EGFR_HUMAN,5.495,,IC50,"DRUGMATRIX: Protein Tyrosine Kinase, EGF Receptor enzyme inhibition (substrate: Poly(Glu:Tyr))",DRUG MATRIX,=,,,,,,Tclin,Homo sapiens,HGNC:3236
nandrolone,1879,Sex hormone-binding globulin,Secreted,P04278,SHBG,SHBG_HUMAN,6.3,,Kd,Displacement of [3H]5alpha dihydrotestosterone from human sex hormone binding globulin,CHEMBL,=,,,,,,Tchem,Homo sapiens,HGNC:10839
nandrolone decanoate,1881,Sex hormone-binding globulin,Secreted,P04278,SHBG,SHBG_HUMAN,6.3,,Kd,Displacement of [3H]5alpha dihydrotestosterone from human sex hormone binding globulin,CHEMBL,=,,,,,,Tchem,Homo sapiens,HGNC:10839
nelfinavir,1893,Epidermal growth factor receptor,Kinase,P00533,EGFR,EGFR_HUMAN,4.255,,IC50,"DRUGMATRIX: Protein Tyrosine Kinase, EGF Receptor enzyme inhibition (substrate: Poly(Glu:Tyr))",DRUG MATRIX,=,,,,,,Tclin,Homo sapiens,HGNC:3236
niclosamide,1912,Epidermal growth factor receptor,Kinase,P00533,EGFR,EGFR_HUMAN,4.98,,IC50,Inhibition of EGFR after 60 mins by radiometric assay,CHEMBL,=,,,,,,Tclin,Homo sapiens,HGNC:3236
nilotinib,1932,Platelet-derived growth factor receptor beta,Kinase,P09619,PDGFRB,PGFRB_HUMAN,7.8,,Kd,Binding affinity to human PDGFRbeata,CHEMBL,=,,,,,,Tclin,Homo sapiens,HGNC:8804
norethisterone,1962,Sex hormone-binding globulin,Secreted,P04278,SHBG,SHBG_HUMAN,7.97,,Kd,Displacement of [3H]5alpha dihydrotestosterone from human sex hormone binding globulin,CHEMBL,=,,,,,,Tchem,Homo sapiens,HGNC:10839
norethindrone acetate,1963,Sex hormone-binding globulin,Secreted,P04278,SHBG,SHBG_HUMAN,7.97,,Kd,Displacement of [3H]5alpha dihydrotestosterone from human sex hormone binding globulin,CHEMBL,=,,,,,,Tchem,Homo sapiens,HGNC:10839
perhexiline,2106,Epidermal growth factor receptor,Kinase,P00533,EGFR,EGFR_HUMAN,5.828,,IC50,"DRUGMATRIX: Protein Tyrosine Kinase, EGF Receptor enzyme inhibition (substrate: Poly(Glu:Tyr))",DRUG MATRIX,=,,,,,,Tclin,Homo sapiens,HGNC:3236
prednisolone,2245,Interleukin-6,Cytokine,P05231,IL6,IL6_HUMAN,8.38,,IC50,,CHEMBL,=,,,,,,Tclin,Homo sapiens,HGNC:6018
prednisolone tebutate,2251,Interleukin-6,Cytokine,P05231,IL6,IL6_HUMAN,8.38,,IC50,Fluorescence Polarization Ligand Binding Assay: The glucocorticoid receptor fluorescence polarization ligand binding (GRFP) assay is used to evaluate direct binding of testing compounds to full-length glucocorticoid (GR) protein. Reagents for this assay are purchased from Invitrogen in a test kit. A fluorescent labeled GR ligand is used as a fluorescent tracer and test compounds compete with the fluorescent tracer for GR binding. The change in polarization value in the presence of test compounds is due to binding of test compounds to GR and is used to determine IC50 and relative binding affinity of test compounds for GR.,CHEMBL,=,,,,,,Tclin,Homo sapiens,HGNC:6018
pregnenolone succinate,2256,Sex hormone-binding globulin,Secreted,P04278,SHBG,SHBG_HUMAN,7.15,,Kd,Displacement of [3H]5alpha dihydrotestosterone from human sex hormone binding globulin,CHEMBL,=,,,,,,Tchem,Homo sapiens,HGNC:10839
progesterone,2279,Sex hormone-binding globulin,Secreted,P04278,SHBG,SHBG_HUMAN,6.94,,Kd,Displacement of [3H]5alpha dihydrotestosterone from human sex hormone binding globulin,CHEMBL,=,,,,,,Tchem,Homo sapiens,HGNC:10839
raloxifene,2351,Interleukin-6,Cytokine,P05231,IL6,IL6_HUMAN,8.05,,IC50,,WOMBAT-PK,=,,,,,,Tclin,Homo sapiens,HGNC:6018
secobarbital,2428,Matrix metalloproteinase-9,Enzyme,P14780,MMP9,MMP9_HUMAN,5.578,,IC50,"DRUGMATRIX: Protease, Matrix Metalloprotease-9 (MMP-9) enzyme inhibition (substrate: Mca-Pro-Leu-Gly-Leu-Dpa-Ala-Arg-NH2)",DRUG MATRIX,=,,,,,,Tchem,Homo sapiens,HGNC:7176
sorafenib,2459,Platelet-derived growth factor receptor beta,Kinase,P09619,PDGFRB,PGFRB_HUMAN,7.43,,Kd,Binding constant for PDGFRB kinase domain,CHEMBL,=,1.0,CHEMBL,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1336,INHIBITOR,Tclin,Homo sapiens,HGNC:8804
sorafenib,2459,Epidermal growth factor receptor,Kinase,P00533,EGFR,EGFR_HUMAN,8.53,,IC50,Inhibition of EGFR (unknown origin) incubated for 1 hr assessed as luminescence changes using ATP by ADP-Glo Kinase assay,CHEMBL,=,,,,,,Tclin,Homo sapiens,HGNC:3236
sorafenib,2459,Vascular endothelial growth factor receptor 3,Kinase,P35916,FLT4,VGFR3_HUMAN,7.8,,Kd,Average Binding Constant for FLT4; NA=Not Active at 10 uM,CHEMBL,=,1.0,CHEMBL,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1336,INHIBITOR,Tclin,Homo sapiens,HGNC:3767
sorafenib,2459,Vascular endothelial growth factor receptor 3,Kinase,P35917,Flt4,VGFR3_MOUSE,7.7,,IC50,,IUPHAR,=,,,,,INHIBITOR,,Mus musculus,MGI:95561
sorafenib,2459,Platelet-derived growth factor receptor beta,Kinase,P05622,Pdgfrb,PGFRB_MOUSE,7.24,,IC50,,IUPHAR,=,,,,,INHIBITOR,,Mus musculus,MGI:97531
sulindac,2534,72 kDa type IV collagenase,Enzyme,P08253,MMP2,MMP2_HUMAN,,,,,WOMBAT-PK,,,,,,,Tchem,Homo sapiens,HGNC:7166
suloctidil,2536,Epidermal growth factor receptor,Kinase,P00533,EGFR,EGFR_HUMAN,6.1,,IC50,"DRUGMATRIX: Protein Tyrosine Kinase, EGF Receptor enzyme inhibition (substrate: Poly(Glu:Tyr))",DRUG MATRIX,=,,,,,,Tclin,Homo sapiens,HGNC:3236
sunitinib,2544,Platelet-derived growth factor receptor beta,Kinase,P09619,PDGFRB,PGFRB_HUMAN,10.12,,Kd,Binding constant for PDGFRB kinase domain,CHEMBL,=,1.0,CHEMBL,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1567,INHIBITOR,Tclin,Homo sapiens,HGNC:8804
sunitinib,2544,Epidermal growth factor receptor,Kinase,P00533,EGFR,EGFR_HUMAN,6.07,,Kd,"Binding constant for EGFR(L858R,T790M) kinase domain",CHEMBL,=,,,,,,Tclin,Homo sapiens,HGNC:3236
