,DRUG_ID,DRUG_NAME,DISEASES,PHASE,Name,ontologyTermName,ontologyTermIRI,score,validated,review,ID
25,D00ALE,H1N1 pandemic influenza vaccine,Influenza virus infection , Approved,influenza virus infection,,,,,,
26,D00ALJ,Placental expanded stem cell therapy,Peripheral vascular disease , Phase 2,peripheral vascular disease,,,,,,
27,D00AMQ,Ethanol,Cystitis , Approved,cystitis,,,,,,
28,D00AMQ,Ethanol,Chronic pain , Approved,chronic pain,Chronic pain,http://purl.obolibrary.org/obo/HP_0012532,100.0,False,False,HP:0012532
29,D00ANG,Erythropoietin-transfected autologous cell therapy,Anemia , Phase 1/2,anemia,Anemia,http://purl.obolibrary.org/obo/HP_0001903,100.0,False,False,HP:0001903
30,D00AOJ,Docosanol,Herpes simplex virus infection , Approved,herpes simplex virus infection,,,,,,
31,D00AQP,Ribavirin + interferon alfa-2a,Middle East Respiratory Syndrome (MERS) , Investigative,middle east respiratory syndrome mers,,,,,,
32,D00AQV,COTI-4A,Small-cell lung cancer , Investigative,small cell lung cancer,Small cell lung carcinoma,http://purl.obolibrary.org/obo/HP_0030357,100.0,False,False,HP:0030357
33,D00AQY,IDDB-41331,Obesity , Preclinical,obesity,Obesity,http://purl.obolibrary.org/obo/HP_0001513,100.0,False,False,HP:0001513
34,D00ARN,Tyloxapol,Cystic fibrosis , Terminated,cystic fibrosis,,,,,,
35,D00ARS,MER-3001,Type-1 diabetes , Phase 2,type 1 diabetes,Type I diabetes mellitus,http://purl.obolibrary.org/obo/HP_0100651,100.0,False,False,HP:0100651
36,D00ARS,MER-3001,Type-2 diabetes , Phase 2,type 2 diabetes,Type II diabetes mellitus,http://purl.obolibrary.org/obo/HP_0005978,100.0,False,False,HP:0005978
37,D00ARS,MER-3001,Type-2 diabetes , Phase 2,type 2 diabetes,Type II diabetes mellitus,http://purl.obolibrary.org/obo/HP_0005978,100.0,False,False,HP:0005978
38,D00ASJ,Typherix,Salmonella infection , Approved,salmonella infection,Salmonella osteomyelitis,http://purl.obolibrary.org/obo/HP_0005661,87.8,False,False,HP:0005661
39,D00ASX,PJ-015,Hyperlipidaemia , Investigative,hyperlipidaemia,Hyperlipidemia,http://purl.obolibrary.org/obo/HP_0003077,90.32,False,False,HP:0003077
40,D00AUC,(99M)-TC-CPI,Diagnostic imaging , Phase 2,diagnostic imaging,,,,,,
41,D00AUM,AQU-010,Neuropathic pain , Investigative,neuropathic pain,,,,,,
42,D00AUX,MSDC-0602,Type-2 diabetes , Phase 2,type 2 diabetes,Type II diabetes mellitus,http://purl.obolibrary.org/obo/HP_0005978,100.0,False,False,HP:0005978
43,D00AUX,MSDC-0602,Type-2 diabetes , Phase 2,type 2 diabetes,Type II diabetes mellitus,http://purl.obolibrary.org/obo/HP_0005978,100.0,False,False,HP:0005978
44,D00AUZ,Thiolated chitosan nanoparticle theophylline,Inflammation , Investigative,inflammation,Gastrointestinal inflammation,http://purl.obolibrary.org/obo/HP_0004386,84.21,False,False,HP:0004386
45,D00AVG,GX-110E,Hepatitis B virus infection , Investigative,hepatitis b virus infection,,,,,,
46,D00AVH,VEN100,Bacterial infection , Phase 2,bacterial infection,Cellulitis,http://purl.obolibrary.org/obo/HP_0100658,85.71,False,False,HP:0100658
47,D00AWA,WIN-63759,Emphysema , Terminated,emphysema,Emphysema,http://purl.obolibrary.org/obo/HP_0002097,100.0,False,False,HP:0002097
48,D00AWT,Propericiazine,Psychiatric disorder , Approved,psychiatric disorder,Behavioral abnormality,http://purl.obolibrary.org/obo/HP_0000708,100.0,False,False,HP:0000708
49,D00AXG,SMT-14224,Non-insulin dependent diabetes , Investigative,non insulin dependent diabetes,Type II diabetes mellitus,http://purl.obolibrary.org/obo/HP_0005978,100.0,False,False,HP:0005978
50,D00AXJ,Miconazole,Fungal infection , Approved,fungal infection,Invasive fungal infection,http://purl.obolibrary.org/obo/HP_0020101,82.35,False,False,HP:0020101
51,D00AXT,MDC-922,Solid tumour/cancer , Investigative,solid tumour cancer,,,,,,
52,D00AXZ,CAP-22,Diabetic angiopathy , Investigative,diabetic angiopathy,,,,,,
53,D00AYA,BMS-188797,Solid tumour/cancer , Phase 2,solid tumour cancer,,,,,,
54,D00AYW,HMS5552,Type-2 diabetes , Phase 1,type 2 diabetes,Type II diabetes mellitus,http://purl.obolibrary.org/obo/HP_0005978,100.0,False,False,HP:0005978
55,D00AYW,HMS5552,Type-2 diabetes , Phase 1,type 2 diabetes,Type II diabetes mellitus,http://purl.obolibrary.org/obo/HP_0005978,100.0,False,False,HP:0005978
56,D00BBB,MetPril,Hypertension , Investigative,hypertension,Hypertension,http://purl.obolibrary.org/obo/HP_0000822,100.0,False,False,HP:0000822
57,D00BCG,Goserelin,Breast cancer , Approved,breast cancer,Breast carcinoma,http://purl.obolibrary.org/obo/HP_0003002,100.0,False,False,HP:0003002
58,D00BCP,Chlorpropamide,Non-insulin dependent diabetes , Approved,non insulin dependent diabetes,Type II diabetes mellitus,http://purl.obolibrary.org/obo/HP_0005978,100.0,False,False,HP:0005978
59,D00BCS,INT-0015/2008,Panic disorder , Investigative,panic disorder,,,,,,
60,D00BCZ,XGP-610,Reperfusion injury , Investigative,reperfusion injury,,,,,,
61,D00BDC,Morniflumate,Otitis media , Approved,otitis media,Otitis media,http://purl.obolibrary.org/obo/HP_0000388,100.0,False,False,HP:0000388
62,D00BHL,EC20,Ovarian cancer , Phase 3,ovarian cancer,,,,,,
63,D00BIY,CGP-48369,Hypertension , Discontinued in Phase 1,hypertension,Hypertension,http://purl.obolibrary.org/obo/HP_0000822,100.0,False,False,HP:0000822
64,D00BJV,BMS-986207,Solid tumour/cancer , Phase 1/2,solid tumour cancer,,,,,,
65,D00BKV,SB 418790,Type-2 diabetes , Discontinued in Phase 1,type 2 diabetes,Type II diabetes mellitus,http://purl.obolibrary.org/obo/HP_0005978,100.0,False,False,HP:0005978
66,D00BKV,SB 418790,Type-2 diabetes , Discontinued in Phase 1,type 2 diabetes,Type II diabetes mellitus,http://purl.obolibrary.org/obo/HP_0005978,100.0,False,False,HP:0005978
67,D00BLL,Fesoterodine fumarate,Overactive bladder , Approved,overactive bladder,Urinary urgency,http://purl.obolibrary.org/obo/HP_0000012,100.0,False,False,HP:0000012
68,D00BLS,AZD0284,Plaque psoriasis , Phase 1,plaque psoriasis,,,,,,
69,D00BMF,MK-4827,Ovarian cancer , Phase 3,ovarian cancer,,,,,,
70,D00BMF,MK-4827,Breast cancer , Phase 2,breast cancer,Breast carcinoma,http://purl.obolibrary.org/obo/HP_0003002,100.0,False,False,HP:0003002
71,D00BMF,MK-4827,Ewing sarcoma , Phase 1,ewing sarcoma,Ewing sarcoma,http://purl.obolibrary.org/obo/HP_0012254,100.0,False,False,HP:0012254
72,D00BMM,Dismutase mimetics,Solid tumour/cancer , Investigative,solid tumour cancer,,,,,,
73,D00BND,BF-1,Cluster headache , Phase 1,cluster headache,Cluster headache,http://purl.obolibrary.org/obo/HP_0012199,100.0,False,False,HP:0012199
74,D00BND,BF-1,Migraine , Phase 1,migraine,Migraine,http://purl.obolibrary.org/obo/HP_0002076,100.0,False,False,HP:0002076
75,D00BOY,CP-18770,Non-hodgkin lymphoma , Phase 2,non hodgkin lymphoma,Non-Hodgkin lymphoma,http://purl.obolibrary.org/obo/HP_0012539,100.0,False,False,HP:0012539
76,D00BPE,AVE-1642,Breast cancer , Discontinued in Phase 2,breast cancer,Breast carcinoma,http://purl.obolibrary.org/obo/HP_0003002,100.0,False,False,HP:0003002
77,D00BPH,COVA322,Psoriasis vulgaris , Phase 1/2a,psoriasis vulgaris,,,,,,
78,D00BTW,UC-781,Human immunodeficiency virus infection , Phase 1,human immunodeficiency virus infection,,,,,,
79,D00BTZ,CT-003230,Cognitive impairment , Investigative,cognitive impairment,Cognitive impairment,http://purl.obolibrary.org/obo/HP_0100543,100.0,False,False,HP:0100543
80,D00BUO,MM-141,Solid tumour/cancer , Phase 2,solid tumour cancer,,,,,,
81,D00BUO,MM-141,Pancreatic cancer , Phase 2,pancreatic cancer,,,,,,
82,D00BUR,ICA-17043,Alzheimer disease , Phase 2,alzheimer disease,Alzheimer disease,http://purl.obolibrary.org/obo/HP_0002511,100.0,False,False,HP:0002511
83,D00BUR,ICA-17043,Constitutional neutropenia , Discontinued in Phase 2,constitutional neutropenia,,,,,,
84,D00BVB,Men Quad TT,Neisseria meningitis infection , Phase 3,neisseria meningitis infection,,,,,,
85,D00BVF,IP-889,Osteoarthritis , Discontinued in Phase 3,osteoarthritis,Osteoarthritis,http://purl.obolibrary.org/obo/HP_0002758,100.0,False,False,HP:0002758
86,D00BVJ,NHS-IL 12,Solid tumour/cancer , Phase 1,solid tumour cancer,,,,,,
87,D00BVS,Tanezumab,Neuropathic pain , Phase 3,neuropathic pain,,,,,,
88,D00BVS,Tanezumab,Chronic low back pain , Phase 3,chronic low back pain,,,,,,
89,D00BVS,Tanezumab,Pain , Phase 3,pain,Pain,http://purl.obolibrary.org/obo/HP_0012531,100.0,False,False,HP:0012531
90,D00BVS,Tanezumab,Osteoarthritis , Phase 3,osteoarthritis,Osteoarthritis,http://purl.obolibrary.org/obo/HP_0002758,100.0,False,False,HP:0002758
91,D00BVS,Tanezumab,Cancer related pain , Phase 3,cancer related pain,,,,,,
92,D00BWF,AGN-XX/YY,Fibromyalgia , Phase 2,fibromyalgia,,,,,,
93,D00BWF,AGN-XX/YY,Diabetic nephropathy , Phase 2,diabetic nephropathy,,,,,,
94,D00BXK,Pyrazole derivative 39,Obesity , Patented,obesity,Obesity,http://purl.obolibrary.org/obo/HP_0001513,100.0,False,False,HP:0001513
95,D00BXZ,M-402,Solid tumour/cancer , Investigative,solid tumour cancer,,,,,,
96,D00BYM,Volasertib,Acute myeloid leukaemia , Phase 3,acute myeloid leukaemia,Acute myeloid leukemia,http://purl.obolibrary.org/obo/HP_0004808,100.0,False,False,HP:0004808
97,D00BZJ,Trumenba,Meningitis , Approved,meningitis,Meningitis,http://purl.obolibrary.org/obo/HP_0001287,100.0,False,False,HP:0001287
98,D00BZO,HL-035,Syndrome X , Investigative,syndrome x,,,,,,
99,D00BZS,Gimatecan,Breast cancer , Phase 2,breast cancer,Breast carcinoma,http://purl.obolibrary.org/obo/HP_0003002,100.0,False,False,HP:0003002
100,D00BZZ,PF-4603629,Type-2 diabetes , Phase 1,type 2 diabetes,Type II diabetes mellitus,http://purl.obolibrary.org/obo/HP_0005978,100.0,False,False,HP:0005978
101,D00BZZ,PF-4603629,Type-2 diabetes , Phase 1,type 2 diabetes,Type II diabetes mellitus,http://purl.obolibrary.org/obo/HP_0005978,100.0,False,False,HP:0005978
102,D00CBP,DTPw-HBV/Hib,Hepatitis B virus infection , Phase 3,hepatitis b virus infection,,,,,,
103,D00CBY,CEL-021,Interstitial cystitis , Investigative,interstitial cystitis,,,,,,
104,D00CCI,Benoxaprofen,Inflammation , Withdrawn from market,inflammation,Gastrointestinal inflammation,http://purl.obolibrary.org/obo/HP_0004386,84.21,False,False,HP:0004386
105,D00CED,HG-1097,Solid tumour/cancer , Investigative,solid tumour cancer,,,,,,
106,D00CEE,Tetraxim,Bordetella pertussis infection , Approved,bordetella pertussis infection,,,,,,
107,D00CEG,D-43787,Allergy , Terminated,allergy,Allergy,http://purl.obolibrary.org/obo/HP_0012393,100.0,False,False,HP:0012393
108,D00CEI,CM-2501,Poison intoxication , Preclinical,poison intoxication,,,,,,
109,D00CFB,Zeniplatin,Melanoma , Discontinued in Phase 2,melanoma,Melanoma,http://purl.obolibrary.org/obo/HP_0002861,100.0,False,False,HP:0002861
110,D00CFU,RO-4840700,Schizophrenia , Investigative,schizophrenia,Schizophrenia,http://purl.obolibrary.org/obo/HP_0100753,100.0,False,False,HP:0100753
111,D00CGH,RO-23-7553,Prostate disease , Phase 1,prostate disease,,,,,,
112,D00CGU,IMS,Inflammatory bowel disease , Discontinued in Phase 1,inflammatory bowel disease,,,,,,
113,D00CGX,DV-1179,Autoimmune disease , Phase 1,autoimmune disease,Autoimmunity,http://purl.obolibrary.org/obo/HP_0002960,100.0,False,False,HP:0002960
114,D00CGX,DV-1179,Systemic lupus erythematosus , Discontinued in Phase 1,systemic lupus erythematosus,Systemic lupus erythematosus,http://purl.obolibrary.org/obo/HP_0002725,100.0,False,False,HP:0002725
115,D00CIF,EMD-503982,Thrombosis , Discontinued in Phase 1,thrombosis,Thrombocytosis,http://purl.obolibrary.org/obo/HP_0001894,83.33,False,False,HP:0001894
116,D00CIT,Regavirumab,Cytomegalovirus infection , Discontinued in Preregistration,cytomegalovirus infection,Severe cytomegalovirus infection,http://purl.obolibrary.org/obo/HP_0031692,88.0,False,False,HP:0031692
117,D00CLC,SLV-338,Cardiovascular disease , Phase 1,cardiovascular disease,,,,,,
118,D00CLM,NIP-004,Thrombocytopenia , Phase 1,thrombocytopenia,Thrombocytopenia,http://purl.obolibrary.org/obo/HP_0001873,100.0,False,False,HP:0001873
119,D00CMA,VVZ-172,Pain , Investigative,pain,Pain,http://purl.obolibrary.org/obo/HP_0012531,100.0,False,False,HP:0012531
120,D00CMC,BP-9906,Solid tumour/cancer , Investigative,solid tumour cancer,,,,,,
121,D00CMV,ABT-102,Chronic pain , Phase 1,chronic pain,Chronic pain,http://purl.obolibrary.org/obo/HP_0012532,100.0,False,False,HP:0012532
122,D00COH,Biaryl mannoside derivative 24,Crohn disease , Patented,crohn disease,Crohn's disease,http://purl.obolibrary.org/obo/HP_0100280,100.0,False,False,HP:0100280
123,D00COH,Biaryl mannoside derivative 24,Ulcerative colitis , Patented,ulcerative colitis,Ulcerative colitis,http://purl.obolibrary.org/obo/HP_0100279,100.0,False,False,HP:0100279
124,D00COH,Biaryl mannoside derivative 24,Urinary tract infection , Patented,urinary tract infection,Recurrent urinary tract infections,http://purl.obolibrary.org/obo/HP_0000010,100.0,False,False,HP:0000010
125,D00COJ,Inclisiran,Hypercholesterolaemia , Phase 3,hypercholesterolaemia,Hypercholesterolemia,http://purl.obolibrary.org/obo/HP_0003124,93.02,False,False,HP:0003124
126,D00CPQ,RemoSynch,Pulmonary arterial hypertension , Phase 2,pulmonary arterial hypertension,Pulmonary arterial hypertension,http://purl.obolibrary.org/obo/HP_0002092,100.0,False,False,HP:0002092
127,D00CQI,Indatuximab ravtansine,Multiple myeloma , Phase 2,multiple myeloma,Multiple myeloma,http://purl.obolibrary.org/obo/HP_0006775,100.0,False,False,HP:0006775
128,D00CQL,N-8295,Influenza virus infection , Phase 1,influenza virus infection,,,,,,
129,D00CQQ,TGFK09SD,Hypoactive sexual desire dysfunction , Phase 2,hypoactive sexual desire dysfunction,,,,,,
130,D00CQW,TNP-351,Solid tumour/cancer , Discontinued in Phase 2,solid tumour cancer,,,,,,
131,D00CRQ,Phenylate derivative 1,Solid tumour/cancer , Patented,solid tumour cancer,,,,,,
132,D00CRQ,Phenylate derivative 1,Infectious disease , Patented,infectious disease,,,,,,
133,D00CRQ,Phenylate derivative 1,Human immunodeficiency virus infection , Patented,human immunodeficiency virus infection,,,,,,
134,D00CRQ,Phenylate derivative 1,Hepatitis , Patented,hepatitis,Hepatitis,http://purl.obolibrary.org/obo/HP_0012115,100.0,False,False,HP:0012115
135,D00CSA,LFF-269,Hypertension , Phase 2,hypertension,Hypertension,http://purl.obolibrary.org/obo/HP_0000822,100.0,False,False,HP:0000822
136,D00CSQ,Triclosan,Malaria , Approved,malaria,,,,,,
137,D00CSQ,Triclosan,Trypanosomiasis , Investigative,trypanosomiasis,,,,,,
138,D00CSQ,Triclosan,Infection of P. falciparum , Investigative,infection of p falciparum,,,,,,
139,D00CTS,Lubiprostone,Chronic idiopathic constipation , Approved,chronic idiopathic constipation,,,,,,
140,D00CTZ,MEDI9929,Asthma , Phase 2,asthma,Asthma,http://purl.obolibrary.org/obo/HP_0002099,100.0,False,False,HP:0002099
141,D00CVJ,Neu-P11,Insomnia , Phase 2,insomnia,Insomnia,http://purl.obolibrary.org/obo/HP_0100785,100.0,False,False,HP:0100785
142,D00CVJ,Neu-P11,Alzheimer disease , Phase 2,alzheimer disease,Alzheimer disease,http://purl.obolibrary.org/obo/HP_0002511,100.0,False,False,HP:0002511
143,D00CVJ,Neu-P11,Dementia , Phase 2,dementia,Dementia,http://purl.obolibrary.org/obo/HP_0000726,100.0,False,False,HP:0000726
144,D00CVT,TD-6301,Overactive bladder , Discontinued in Phase 1,overactive bladder,Urinary urgency,http://purl.obolibrary.org/obo/HP_0000012,100.0,False,False,HP:0000012
145,D00CZT,Solanezumab,Alzheimer disease , Phase 3,alzheimer disease,Alzheimer disease,http://purl.obolibrary.org/obo/HP_0002511,100.0,False,False,HP:0002511
146,D00DAE,Carboxyamidotriazole orotate,Glioblastoma multiforme , Phase 2,glioblastoma multiforme,Glioblastoma multiforme,http://purl.obolibrary.org/obo/HP_0012174,100.0,False,False,HP:0012174
147,D00DAU,LCP-3301,Autoimmune diabetes , Terminated,autoimmune diabetes,,,,,,
148,D00DBE,CI-1018,Asthma , Discontinued in Phase 2,asthma,Asthma,http://purl.obolibrary.org/obo/HP_0002099,100.0,False,False,HP:0002099
149,D00DBH,NPS 1776,Epilepsy , Discontinued in Phase 2,epilepsy,,,,,,
150,D00DBO,Pipamperone,Insomnia , Phase 1/2,insomnia,Insomnia,http://purl.obolibrary.org/obo/HP_0100785,100.0,False,False,HP:0100785
151,D00DBU,SA-IGIV,Staphylococcus infection , Discontinued in Phase 2,staphylococcus infection,,,,,,
152,D00DCY,OraTest,Oral cancer , Approved,oral cancer,,,,,,
153,D00DDR,G3139 + Thalidomide,Multiple myeloma , Investigative,multiple myeloma,Multiple myeloma,http://purl.obolibrary.org/obo/HP_0006775,100.0,False,False,HP:0006775
154,D00DEF,Lisdexamfetamine,Attention deficit hyperactivity disorder , Approved,attention deficit hyperactivity disorder,Attention deficit hyperactivity disorder,http://purl.obolibrary.org/obo/HP_0007018,100.0,False,False,HP:0007018
155,D00DFP,KBP-5074,Hypertension , Phase 1/2,hypertension,Hypertension,http://purl.obolibrary.org/obo/HP_0000822,100.0,False,False,HP:0000822
156,D00DHM,SDZ-208911,Psychotic disorder , Investigative,psychotic disorder,,,,,,
157,D00DHT,Mammalian sterile 20-like kinase 1 gene eluting stent,Artery stenosis , Investigative,artery stenosis,Arterial stenosis,http://purl.obolibrary.org/obo/HP_0100545,100.0,False,False,HP:0100545
158,D00DIB,Anti-CD33,Acute myeloid leukaemia , Phase 1,acute myeloid leukaemia,Acute myeloid leukemia,http://purl.obolibrary.org/obo/HP_0004808,100.0,False,False,HP:0004808
159,D00DIM,Monohydroxyethylrutoside,Cardiovascular disease , Phase 1,cardiovascular disease,,,,,,
160,D00DJC,CJX-1,Solid tumour/cancer , Investigative,solid tumour cancer,,,,,,
161,D00DKK,Isotretinoin,Acne vulgaris , Approved,acne vulgaris,,,,,,
162,D00DPJ,Amezinium,Hypotension , Approved,hypotension,Hypotension,http://purl.obolibrary.org/obo/HP_0002615,100.0,False,False,HP:0002615
163,D00DPP,CYCLOPLATAM,Solid tumour/cancer , Phase 2,solid tumour cancer,,,,,,
164,D00DQX,Motesanib,Non-small-cell lung cancer , Discontinued in Phase 3,non small cell lung cancer,Non-small cell lung carcinoma,http://purl.obolibrary.org/obo/HP_0030358,100.0,False,False,HP:0030358
165,D00DQX,Motesanib,Non-small-cell lung cancer , Discontinued in Phase 3,non small cell lung cancer,Non-small cell lung carcinoma,http://purl.obolibrary.org/obo/HP_0030358,100.0,False,False,HP:0030358
166,D00DRA,KA-20X,Gastrointestinal cancer , Investigative,gastrointestinal cancer,,,,,,
167,D00DRL,MK-2461,Alzheimer disease , Phase 1/2,alzheimer disease,Alzheimer disease,http://purl.obolibrary.org/obo/HP_0002511,100.0,False,False,HP:0002511
168,D00DSD,GLI-5021,Cerebrovascular ischaemia , Terminated,cerebrovascular ischaemia,Cerebral ischemia,http://purl.obolibrary.org/obo/HP_0002637,94.12,False,False,HP:0002637
169,D00DSG,PF-05313261,Inflammation , Investigative,inflammation,Gastrointestinal inflammation,http://purl.obolibrary.org/obo/HP_0004386,84.21,False,False,HP:0004386
170,D00DSN,Sepcidin,Sepsis , Investigative,sepsis,Sepsis,http://purl.obolibrary.org/obo/HP_0100806,100.0,False,False,HP:0100806
171,D00DSV,Polynoma-1,Melanoma , Phase 2,melanoma,Melanoma,http://purl.obolibrary.org/obo/HP_0002861,100.0,False,False,HP:0002861
172,D00DTP,ZP-006,Pharyngitis , Investigative,pharyngitis,Pharyngitis,http://purl.obolibrary.org/obo/HP_0025439,100.0,False,False,HP:0025439
173,D00DXC,Macrocycle derivative 13,Cell proliferative disorder , Patented,cell proliferative disorder,,,,,,
174,D00DXH,LYS-6KAKT1,Solid tumour/cancer , Phase 1,solid tumour cancer,,,,,,
175,D00DYI,Benzothiazole analog 1,Albinism , Patented,albinism,Albinism,http://purl.obolibrary.org/obo/HP_0001022,100.0,False,False,HP:0001022
176,D00DYI,Benzothiazole analog 1,Ephelides , Patented,ephelides,,,,,,
177,D00DYI,Benzothiazole analog 1,Menkes disease , Patented,menkes disease,,,,,,
178,D00DYI,Benzothiazole analog 1,Senile lentigines , Patented,senile lentigines,,,,,,
179,D00DYI,Benzothiazole analog 1,Melasma , Patented,melasma,Melasma,http://purl.obolibrary.org/obo/HP_0025272,100.0,False,False,HP:0025272
180,D00DYK,Lunacalcipol,Psoriasis vulgaris , Phase 2,psoriasis vulgaris,,,,,,
181,D00DYN,Botulinum neurotoxin vaccine,Botulism , Phase 1,botulism,,,,,,
182,D00DZN,Beclamide,Psychiatric disorder , Approved,psychiatric disorder,Behavioral abnormality,http://purl.obolibrary.org/obo/HP_0000708,100.0,False,False,HP:0000708
183,D00EBH,ICI-170809,Anxiety disorder , Discontinued in Phase 2,anxiety disorder,,,,,,
184,D00ECB,CD-349,Hypertension , Discontinued in Phase 2,hypertension,Hypertension,http://purl.obolibrary.org/obo/HP_0000822,100.0,False,False,HP:0000822
185,D00ECO,SIB-1553A,Alzheimer disease , Discontinued in Phase 2,alzheimer disease,Alzheimer disease,http://purl.obolibrary.org/obo/HP_0002511,100.0,False,False,HP:0002511
186,D00EEL,Gaboxadol,Insomnia , Approved,insomnia,Insomnia,http://purl.obolibrary.org/obo/HP_0100785,100.0,False,False,HP:0100785
187,D00EEP,E-3309,Helicobacter infection , Discontinued in Phase 1,helicobacter infection,Helicobacter pylori infection,http://purl.obolibrary.org/obo/HP_0005202,83.72,False,False,HP:0005202
188,D00EFD,C-21191,Anxiety disorder , Investigative,anxiety disorder,,,,,,
189,D00EFO,Interferon alpha-2b,Hepatitis C virus infection , Phase 2,hepatitis c virus infection,,,,,,
190,D00EGN,ETX-9101,Asthma , Phase 2,asthma,Asthma,http://purl.obolibrary.org/obo/HP_0002099,100.0,False,False,HP:0002099
191,D00EGU,PACAP38,Nerve injury , Phase 1,nerve injury,,,,,,
192,D00EGV,Monoamine derivative 2,Albinism , Patented,albinism,Albinism,http://purl.obolibrary.org/obo/HP_0001022,100.0,False,False,HP:0001022
193,D00EGV,Monoamine derivative 2,Ephelides , Patented,ephelides,,,,,,
194,D00EGV,Monoamine derivative 2,Menkes disease , Patented,menkes disease,,,,,,
195,D00EGV,Monoamine derivative 2,Senile lentigines , Patented,senile lentigines,,,,,,
196,D00EGV,Monoamine derivative 2,Melasma , Patented,melasma,Melasma,http://purl.obolibrary.org/obo/HP_0025272,100.0,False,False,HP:0025272
197,D00EHX,TT-301,Alzheimer disease , Phase 1,alzheimer disease,Alzheimer disease,http://purl.obolibrary.org/obo/HP_0002511,100.0,False,False,HP:0002511
198,D00EIB,Ha-1a,Sepsis , Approved,sepsis,Sepsis,http://purl.obolibrary.org/obo/HP_0100806,100.0,False,False,HP:0100806
199,D00EIB,Ha-1a,Congestive heart failure , Approved,congestive heart failure,Congestive heart failure,http://purl.obolibrary.org/obo/HP_0001635,100.0,False,False,HP:0001635
200,D00EIB,Ha-1a,Atrial fibrillation , Approved,atrial fibrillation,Atrial fibrillation,http://purl.obolibrary.org/obo/HP_0005110,100.0,False,False,HP:0005110
201,D00EIL,CG-103065,Solid tumour/cancer , Investigative,solid tumour cancer,,,,,,
