DRUG_NAME,STRUCT_ID,TARGET_NAME,TARGET_CLASS,ACCESSION,GENE,SWISSPROT,ACT_VALUE,ACT_UNIT,ACT_TYPE,ACT_COMMENT,ACT_SOURCE,RELATION,MOA,MOA_SOURCE,ACT_SOURCE_URL,MOA_SOURCE_URL,ACTION_TYPE,TDL,ORGANISM,NEW_ID
benzatropine,333,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,9.636,,Ki,,WOMBAT-PK,=,1.0,CHEMBL,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1201203,ANTAGONIST,Tclin,Homo sapiens,HGNC:1950
bepridil,342,Voltage-dependent L-type calcium channel subunit alpha-1C,Ion channel,Q13936,CACNA1C,CAC1C_HUMAN,,,,Mechanism of Action,SCIENTIFIC LITERATURE,,1.0,SCIENTIFIC LITERATURE,https://pubmed.ncbi.nlm.nih.gov/1281221,https://pubmed.ncbi.nlm.nih.gov/1281221,BLOCKER,Tclin,Homo sapiens,HGNC:1390
bepridil,342,Voltage-dependent L-type calcium channel subunit alpha-1D,Ion channel,Q01668,CACNA1D,CAC1D_HUMAN,,,,Mechanism of Action,SCIENTIFIC LITERATURE,,1.0,SCIENTIFIC LITERATURE,https://pubmed.ncbi.nlm.nih.gov/1281221,https://pubmed.ncbi.nlm.nih.gov/1281221,BLOCKER,Tclin,Homo sapiens,HGNC:1391
bethanechol,358,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,4.0,,Ki,,IUPHAR,=,,,,,AGONIST,Tclin,Homo sapiens,HGNC:1950
biperiden,374,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,9.32,,Kd,,IUPHAR,=,1.0,CHEMBL,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1101,ANTAGONIST,Tclin,Homo sapiens,HGNC:1950
bortezomib,391,Proteasome subunit beta type-5,Enzyme,P28074,PSMB5,PSB5_HUMAN,9.26,,Ki,Inhibition of 20S proteasome beta5 subunit (unknown origin) assessed as formation of reversible adduct with N-terminal threonine,CHEMBL,=,1.0,CHEMBL,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL325041,INHIBITOR,Tclin,Homo sapiens,HGNC:9542
bromperidol,407,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,5.119,,Ki,,PDSP,=,,,,,,Tclin,Homo sapiens,HGNC:1950
scopolamine butylbromide,458,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,,,,,WOMBAT-PK,,,,,,,Tclin,Homo sapiens,HGNC:1950
cadralazine,461,Voltage-dependent L-type calcium channel subunit alpha-1C,Ion channel,Q13936,CACNA1C,CAC1C_HUMAN,,,,,WOMBAT-PK,,,,,,,Tclin,Homo sapiens,HGNC:1390
carbachol,488,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,8.523,,EC50,,WOMBAT-PK,=,,,,,,Tclin,Homo sapiens,HGNC:1950
carbachol,488,Muscarinic acetylcholine receptor M1,GPCR,P12657,Chrm1,ACM1_MOUSE,7.7,,Ki,Binding affinity (low) of [3H](R)-QNB binding to Muscarinic acetylcholine receptor M1 expressed in A9 L cell line in the absence of 300 uM GTP-gamma-S,CHEMBL,=,,,,,,,Mus musculus,MGI:88396
carbenicillin,492,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,5.37,,IC50,,WOMBAT-PK,=,,,,,,Tclin,Homo sapiens,HGNC:1950
pentoxyverine,494,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,7.12,,Ki,Binding affinity towards muscarinic m1 receptor,CHEMBL,=,,,,,,Tclin,Homo sapiens,HGNC:1950
carvedilol,522,Amyloid beta A4 protein,Unclassified,P05067,APP,A4_HUMAN,4.52,,IC50,,CHEMBL,=,,,,,,,Homo sapiens,HGNC:620
cevimeline,584,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,7.638,,EC50,,WOMBAT-PK,=,1.0,CHEMBL,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL168815,AGONIST,Tclin,Homo sapiens,HGNC:1950
chloropyramine,606,Focal adhesion kinase 1,Kinase,Q05397,PTK2,FAK1_HUMAN,6.24,,Kd,Binding affinity to biotinylated human FAK FAT domain by biolayer interoferometry,CHEMBL,=,,,,,,Tclin,Homo sapiens,HGNC:9611
chloroquine,607,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,5.04,,Ki,Activity of compound against Muscarinic acetylcholine receptor M1 (CHRM1) by displacement of 3H-QNB,CHEMBL,=,,,,,,Tclin,Homo sapiens,HGNC:1950
chloroquine,607,Major prion protein,Surface antigen,P04156,PRNP,PRIO_HUMAN,5.4,,EC50,Half maximal inhibition of Prion protein PrPsc formation was assayed in ScN2a cells,CHEMBL,=,,,,,,Tchem,Homo sapiens,HGNC:9449
chloroquine,607,Amyloid beta A4 protein,Unclassified,P05067,APP,A4_HUMAN,5.16,,IC50,Modulation of human wild-type APP695 expressed in SH-SY5Y cells assessed as inhibition of amyloid beta (1 to 40 residues) production measured after 24 hrs,CHEMBL,=,,,,,,,Homo sapiens,HGNC:620
chlorpromazine,621,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,7.602,,Ki,,PDSP,=,,,,,,Tclin,Homo sapiens,HGNC:1950
chlorpromazine,621,Major prion protein,Surface antigen,P04156,PRNP,PRIO_HUMAN,5.7,,EC50,Half maximal inhibition of Prion protein PrPsc formation was assayed in ScN2a cells,CHEMBL,=,,,,,,Tchem,Homo sapiens,HGNC:9449
chlorpromazine,621,Major prion protein,Unclassified,P04925,Prnp,PRIO_MOUSE,5.7,,EC50,Activity at mouse prion protein expressed in Escherichia coli,CHEMBL,=,,,,,,,Mus musculus,MGI:97769
chlorprothixene,623,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,7.959,,Ki,,PDSP,,,,,,,Tclin,Homo sapiens,HGNC:1950
chlortetracycline,624,Major prion protein,Surface antigen,P04156,PRNP,PRIO_HUMAN,,,,,WOMBAT-PK,,,,,,,Tchem,Homo sapiens,HGNC:9449
chlorzoxazone,626,"Nitric oxide synthase, brain",Enzyme,P29475,NOS1,NOS1_HUMAN,4.3,,IC50,Inhibitory activity against Neuronal nitric oxide synthase,CHEMBL,=,,,,,,Tchem,Homo sapiens,HGNC:7872
chlorzoxazone,626,Calcium-activated potassium channel subunit alpha-1,Ion channel,Q12791,KCNMA1,KCMA1_HUMAN,4.523,,EC50,Chlorzoxazone-stimulated activity of BK(Ca) channels in neuroblastoma IMR-32 cells,SCIENTIFIC LITERATURE,=,1.0,SCIENTIFIC LITERATURE,https://pubmed.ncbi.nlm.nih.gov/12480161,https://pubmed.ncbi.nlm.nih.gov/12480161,OPENER,Tclin,Homo sapiens,HGNC:6284
cianidanol,629,Amyloid beta A4 protein,Unclassified,P05067,APP,A4_HUMAN,4.48,,IC50,Inhibition of wild type Amyloid beta (1 to 42) (unknown origin) aggregation by Thioflavin-T fluorescence assay,CHEMBL,=,,,,,,,Homo sapiens,HGNC:620
cianidanol,629,Amyloid beta A4 protein,Unclassified,P05067,APP,A4_HUMAN,4.48,,IC50,Inhibition of wild type Amyloid beta (1 to 42) (unknown origin) aggregation by Thioflavin-T fluorescence assay,CHEMBL,=,,,,,,Tchem,Homo sapiens,HGNC:620
cinnarizine,654,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,6.218,,Ki,DRUGMATRIX: Muscarinic M1 radioligand binding (ligand: [3H] N-Methylscopolamine),DRUG MATRIX,=,,,,,,Tclin,Homo sapiens,HGNC:1950
citalopram,663,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,5.875,,Ki,,PDSP,=,,,,,,Tclin,Homo sapiens,HGNC:1950
clemastine,671,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,7.796,,Ki,,WOMBAT-PK,=,,,,,,Tclin,Homo sapiens,HGNC:1950
clevidipine,674,Voltage-dependent L-type calcium channel subunit alpha-1C,Ion channel,Q13936,CACNA1C,CAC1C_HUMAN,,,,,WOMBAT-PK,,1.0,CHEMBL,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1237132,BLOCKER,Tclin,Homo sapiens,HGNC:1390
clevidipine,674,Voltage-dependent L-type calcium channel subunit alpha-1D,Ion channel,Q01668,CACNA1D,CAC1D_HUMAN,,,,,WOMBAT-PK,,1.0,CHEMBL,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1237132,BLOCKER,Tclin,Homo sapiens,HGNC:1391
clidinium,676,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,,,,Mechanism of Action; CHEMBL216; SINGLE PROTEIN,CHEMBL,,1.0,CHEMBL,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL620,ANTAGONIST,Tclin,Homo sapiens,HGNC:1950
clioquinol,681,Amyloid beta A4 protein,Unclassified,P05067,APP,A4_HUMAN,4.0,,IC50,Inhibition of amyloid beta (1 to 42) aggregation (unknown origin) at 4:1 compound to protein concentration after 48 hrs by thioflavin T fluorescence assay,CHEMBL,=,,,,,,,Homo sapiens,HGNC:620
clodronic acid,690,Tyrosine-protein phosphatase non-receptor type 1,Enzyme,P18031,PTPN1,PTN1_HUMAN,,,,,WOMBAT-PK,,,,,,,Tchem,Homo sapiens,HGNC:9642
clomifene,700,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,6.407,,Ki,DRUGMATRIX: Muscarinic M1 radioligand binding (ligand: [3H] N-Methylscopolamine),DRUG MATRIX,=,,,,,,Tclin,Homo sapiens,HGNC:1950
clomipramine,701,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,7.658,,Ki,DRUGMATRIX: Muscarinic M1 radioligand binding (ligand: [3H] N-Methylscopolamine),DRUG MATRIX,=,,,,,,Tclin,Homo sapiens,HGNC:1950
clotrimazole,719,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,5.781,,Ki,DRUGMATRIX: Muscarinic M1 radioligand binding (ligand: [3H] N-Methylscopolamine),DRUG MATRIX,=,,,,,,Tclin,Homo sapiens,HGNC:1950
clozapine,722,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,8.181,,IC50,,WOMBAT-PK,=,,,,,,Tclin,Homo sapiens,HGNC:1950
colforsin daropate,729,Adenylate cyclase type 1,Enzyme,Q08828,ADCY1,ADCY1_HUMAN,7.39,,IC50,Inhibition of [125 I]6-IHPP-forskolin binding to adenylate cyclase 1,CHEMBL,=,,,,,,Tchem,Homo sapiens,HGNC:232
cyamemazine,746,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,7.886,,Ki,,PDSP,=,,,,,,Tclin,Homo sapiens,HGNC:1950
cyclizine,749,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,6.788,,Ki,DRUGMATRIX: Muscarinic M1 radioligand binding (ligand: [3H] N-Methylscopolamine),DRUG MATRIX,=,,,,,,Tclin,Homo sapiens,HGNC:1950
cyclobenzaprine,751,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,6.95,,IC50,,WOMBAT-PK,=,,,,,,Tclin,Homo sapiens,HGNC:1950
cycrimine,763,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,,,,,WOMBAT-PK,,1.0,CHEMBL,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1201227,ANTAGONIST,Tclin,Homo sapiens,HGNC:1950
cyproheptadine,765,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,8.0,,Ki,,WOMBAT-PK,=,,,,,,Tclin,Homo sapiens,HGNC:1950
darifenacin,784,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,8.3,,Ki,GRAC: human M1 antagonist,CHEMBL,=,,,,,,Tclin,Homo sapiens,HGNC:1950
dasatinib,785,Proto-oncogene tyrosine-protein kinase Src,Kinase,P12931,SRC,SRC_HUMAN,9.68,,Kd,Binding constant for SRC kinase domain,CHEMBL,=,1.0,CHEMBL,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1421,INHIBITOR,Tclin,Homo sapiens,HGNC:11283
dasatinib,785,Tyrosine-protein kinase Lyn,Kinase,P07948,LYN,LYN_HUMAN,9.24,,Kd,Binding constant for LYN kinase domain,CHEMBL,=,,,,,INHIBITOR,Tclin,Homo sapiens,HGNC:6735
desipramine,812,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,6.76,,Ki,,WOMBAT-PK,=,,,,,,Tclin,Homo sapiens,HGNC:1950
desloratadine,814,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,7.74,,Ki,,WOMBAT-PK,=,,,,,,Tclin,Homo sapiens,HGNC:1950
dexfenfluramine,832,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,5.733,,Ki,,PDSP,=,,,,,,Tclin,Homo sapiens,HGNC:1950
dicloxacillin,866,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,5.96,,IC50,,WOMBAT-PK,=,,,,,,Tclin,Homo sapiens,HGNC:1950
dicycloverine,868,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,9.079,,Ki,DRUGMATRIX: Muscarinic M1 radioligand binding (ligand: [3H] N-Methylscopolamine),DRUG MATRIX,=,1.0,CHEMBL,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1123,ANTAGONIST,Tclin,Homo sapiens,HGNC:1950
diethylstilbestrol,875,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,5.437,,Ki,DRUGMATRIX: Muscarinic M1 radioligand binding (ligand: [3H] N-Methylscopolamine),DRUG MATRIX,=,,,,,,Tclin,Homo sapiens,HGNC:1950
diltiazem,897,Voltage-dependent L-type calcium channel subunit alpha-1C,Ion channel,Q13936,CACNA1C,CAC1C_HUMAN,7.319,,IC50,,WOMBAT-PK,=,1.0,CHEMBL,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL23,BLOCKER,Tclin,Homo sapiens,HGNC:1390
diltiazem,897,Voltage-dependent L-type calcium channel subunit alpha-1S,Ion channel,Q13698,CACNA1S,CAC1S_HUMAN,6.42,,Ki,Displacement of [3H]diltiazem from L-type calcium channel of guinea pig striated muscle,CHEMBL,=,,,,,,Tclin,Homo sapiens,HGNC:1397
diltiazem,897,Voltage-dependent L-type calcium channel subunit alpha-1F,Ion channel,Q9JIS7,Cacna1f,CAC1F_MOUSE,4.0,,IC50,,IUPHAR,=,,,,,BLOCKER,,Mus musculus,MGI:1859639
dimenhydrinate,901,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,6.963,,Ki,DRUGMATRIX: Muscarinic M1 radioligand binding (ligand: [3H] N-Methylscopolamine),DRUG MATRIX,=,,,,,,Tclin,Homo sapiens,HGNC:1950
dimetindene,903,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,6.58,,Ki,,CHEMBL,=,,,,,,Tclin,Homo sapiens,HGNC:1950
diphemanil,915,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,,,,Mechanism of Action; CHEMBL216; SINGLE PROTEIN,CHEMBL,,1.0,CHEMBL,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1201340,ANTAGONIST,Tclin,Homo sapiens,HGNC:1950
diphenhydramine,916,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,7.0,,Ki,,WOMBAT-PK,=,,,,,,Tclin,Homo sapiens,HGNC:1950
diphenylpyraline,920,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,7.699,,Ki,,WOMBAT-PK,=,,,,,,Tclin,Homo sapiens,HGNC:1950
disopyramide,926,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,,,,,WOMBAT-PK,,,,,,,Tclin,Homo sapiens,HGNC:1950
dosulepin,951,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,7.744,,Ki,,WOMBAT-PK,=,,,,,,Tclin,Homo sapiens,HGNC:1950
doxepin,956,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,7.42,,Ki,,WOMBAT-PK,=,,,,,,Tclin,Homo sapiens,HGNC:1950
doxorubicin,960,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,5.433,,Ki,DRUGMATRIX: Muscarinic M1 radioligand binding (ligand: [3H] N-Methylscopolamine),DRUG MATRIX,=,,,,,,Tclin,Homo sapiens,HGNC:1950
drotaverine,969,Voltage-dependent L-type calcium channel subunit alpha-1C,Ion channel,Q13936,CACNA1C,CAC1C_HUMAN,,,,,WOMBAT-PK,,,,,,,Tclin,Homo sapiens,HGNC:1390
droxidopa,971,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,7.1,,Ki,,IUPHAR,=,,,,,ANTAGONIST,Tclin,Homo sapiens,HGNC:1950
droxidopa,971,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,7.1,,Ki,,IUPHAR,=,,,,,ANTAGONIST,Tclin,Homo sapiens,HGNC:1950
ebastine,977,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,5.96,,IC50,Compound is evaluated for in vitro receptor binding affinity against Muscarinic acetylcholine receptor M1,CHEMBL,=,,,,,,Tclin,Homo sapiens,HGNC:1950
econazole,983,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,6.197,,Ki,DRUGMATRIX: Muscarinic M1 radioligand binding (ligand: [3H] N-Methylscopolamine),DRUG MATRIX,=,,,,,,Tclin,Homo sapiens,HGNC:1950
edetic acid,987,Amyloid beta A4 protein,Unclassified,P05067,APP,A4_HUMAN,5.11,,IC50,Inhibition of amyloid beta aggregation (unknown origin) after 4 hrs by thioflavin S assay in presence of Zn2+,CHEMBL,=,,,,,,,Homo sapiens,HGNC:620
endralazine,1008,Voltage-dependent L-type calcium channel subunit alpha-1C,Ion channel,Q13936,CACNA1C,CAC1C_HUMAN,,,,,WOMBAT-PK,,,,,,,Tclin,Homo sapiens,HGNC:1390
ergotamine,1043,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,6.064,,Ki,,PDSP,,,,,,,Tclin,Homo sapiens,HGNC:1950
erlotinib,1045,Proto-oncogene tyrosine-protein kinase Src,Kinase,P12931,SRC,SRC_HUMAN,6.15,,Kd,Binding constant for SRC kinase domain,CHEMBL,=,,,,,,Tclin,Homo sapiens,HGNC:11283
erlotinib,1045,Focal adhesion kinase 1,Kinase,Q05397,PTK2,FAK1_HUMAN,5.13,,IC50,Inhibition of FAK (unknown origin) assembly preincubated with enzyme followed by GTP addition measured after 20 mins by spectrophotometric analysis,CHEMBL,=,,,,,,Tclin,Homo sapiens,HGNC:9611
erlotinib,1045,Tyrosine-protein kinase Lyn,Kinase,P07948,LYN,LYN_HUMAN,6.28,,Kd,Binding constant for LYN kinase domain,CHEMBL,=,,,,,,Tclin,Homo sapiens,HGNC:6735
escitalopram,1053,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,5.906,,Ki,,PDSP,,,,,,,Tclin,Homo sapiens,HGNC:1950
estradiol,1057,Calcium-activated potassium channel subunit alpha-1,Ion channel,Q12791,KCNMA1,KCMA1_HUMAN,5.6,,EC50,,IUPHAR,=,,,,,ACTIVATOR,Tclin,Homo sapiens,HGNC:6284
